ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,BEST,BEST_lower,BEST_upper,EA_first_difference,EA_first_difference_lower,EA_first_difference_upper,EA_seasonal_difference,EA_seasonal_difference_lower,EA_seasonal_difference_upper,EA_seasonal_first_difference,EA_seasonal_first_difference_lower,EA_seasonal_first_difference_upper,EPNP_first_difference,EPNP_first_difference_lower,EPNP_first_difference_upper,EPNP_seasonal_difference,EPNP_seasonal_difference_lower,EPNP_seasonal_difference_upper,EPNP_seasonal_first_difference,EPNP_seasonal_first_difference_lower,EPNP_seasonal_first_difference_upper,NAO_first_difference,NAO_first_difference_lower,NAO_first_difference_upper,NAO_seasonal_difference,NAO_seasonal_difference_lower,NAO_seasonal_difference_upper,NAO_seasonal_first_difference,NAO_seasonal_first_difference_lower,NAO_seasonal_first_difference_upper,NINA,NINA_lower,NINA_upper,ONI,ONI_lower,ONI_upper,PNA_first_difference,PNA_first_difference_lower,PNA_first_difference_upper,PNA_seasonal_difference,PNA_seasonal_difference_lower,PNA_seasonal_difference_upper,PNA_seasonal_first_difference,PNA_seasonal_first_difference_lower,PNA_seasonal_first_difference_upper,WP_first_difference,WP_first_difference_lower,WP_first_difference_upper,WP_seasonal_difference,WP_seasonal_difference_lower,WP_seasonal_difference_upper,WP_seasonal_first_difference,WP_seasonal_first_difference_lower,WP_seasonal_first_difference_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-01,26.8405621514607,26.25403457813937,27.176513912873958,26.8405621514607,26.8405621514607,-0.03918897443812329,-0.03918897443812329,-0.03918897443812329,-0.004394642387002081,-0.004394642387002081,-0.004394642387002081,0.011969024867525805,0.011969024867525805,0.011969024867525805,0.0013621152332916053,0.0013621152332916053,0.0013621152332916053,0.0007353950462527334,0.0007353950462527334,0.0007353950462527334,0.01499439213402222,0.01499439213402222,0.01499439213402222,-0.005632431645356982,-0.005632431645356982,-0.005632431645356982,0.013783606524072277,0.013783606524072277,0.013783606524072277,0.039511922869561775,0.039511922869561775,0.039511922869561775,-0.04592841764082894,-0.04592841764082894,-0.04592841764082894,-0.049586978078711826,-0.049586978078711826,-0.049586978078711826,0.13875777187943464,0.13875777187943464,0.13875777187943464,-0.022016555273766863,-0.022016555273766863,-0.022016555273766863,0.09385426264574366,0.09385426264574366,0.09385426264574366,0.0037258798756738976,0.0037258798756738976,0.0037258798756738976,0.0539314703746096,0.0539314703746096,0.0539314703746096,-0.0358662947595301,-0.0358662947595301,-0.0358662947595301,0.012048635861169197,0.012048635861169197,0.012048635861169197,-0.15971342519921397,-0.15971342519921397,-0.15971342519921397,0.18206018308803731,0.18206018308803731,0.18206018308803731,-0.34177360828725134,-0.34177360828725134,-0.34177360828725134,0.0,0.0,0.0,26.680848726261484
1970-02-01,26.83715477994228,26.94721003442115,27.868451687457846,26.83715477994228,26.83715477994228,-0.03732961411510777,-0.03732961411510777,-0.03732961411510777,0.005526913865590009,0.005526913865590009,0.005526913865590009,-0.0399016946836174,-0.0399016946836174,-0.0399016946836174,0.02769005445627702,0.02769005445627702,0.02769005445627702,0.0016402348079493404,0.0016402348079493404,0.0016402348079493404,-0.04915048606205591,-0.04915048606205591,-0.04915048606205591,0.04161118305857183,0.04161118305857183,0.04161118305857183,-0.0182341035795939,-0.0182341035795939,-0.0182341035795939,-0.12408391400378975,-0.12408391400378975,-0.12408391400378975,0.08237877028660845,0.08237877028660845,0.08237877028660845,-0.01489057811210314,-0.01489057811210314,-0.01489057811210314,0.09791507558945126,0.09791507558945126,0.09791507558945126,0.013941689623200495,0.013941689623200495,0.013941689623200495,0.09082600937641447,0.09082600937641447,0.09082600937641447,0.0019265017843512384,0.0019265017843512384,0.0019265017843512384,-0.043083627175343274,-0.043083627175343274,-0.043083627175343274,-0.014395295949234005,-0.014395295949234005,-0.014395295949234005,-0.007470515281807317,-0.007470515281807317,-0.007470515281807317,0.5471113050778127,0.5471113050778127,0.5471113050778127,0.014916603885761664,0.014916603885761664,0.014916603885761664,0.5321947011920511,0.5321947011920511,0.5321947011920511,0.0,0.0,0.0,27.384266085020094
1970-03-01,26.83407715405468,27.275807969892117,28.195462427349437,26.834077154054683,26.834077154054683,-0.008044689027613383,-0.008044689027613383,-0.008044689027613383,0.016424360897125585,0.016424360897125585,0.016424360897125585,0.2336353029493643,0.2336353029493643,0.2336353029493643,-0.14703172402353523,-0.14703172402353523,-0.14703172402353523,4.59933230553189e-05,4.59933230553189e-05,4.59933230553189e-05,-0.02653530464677196,-0.02653530464677196,-0.02653530464677196,-0.014707476277750082,-0.014707476277750082,-0.014707476277750082,0.0122007084964753,0.0122007084964753,0.0122007084964753,-0.031245785716765104,-0.031245785716765104,-0.031245785716765104,-0.046686137254573656,-0.046686137254573656,-0.046686137254573656,0.016501402810066627,0.016501402810066627,0.016501402810066627,0.08590251785710319,0.08590251785710319,0.08590251785710319,-0.008102277900592534,-0.008102277900592534,-0.008102277900592534,0.001189712604270181,0.001189712604270181,0.001189712604270181,0.05910673890860469,0.05910673890860469,0.05910673890860469,0.005818291914876868,0.005818291914876868,0.005818291914876868,-0.02063686537083171,-0.02063686537083171,-0.02063686537083171,0.0021589326153944317,0.0021589326153944317,0.0021589326153944317,0.8749304440812194,0.8749304440812194,0.8749304440812194,0.12999370215790276,0.12999370215790276,0.12999370215790276,0.7449367419233166,0.7449367419233166,0.7449367419233166,0.0,0.0,0.0,27.709007598135898
1970-04-01,26.830669782536262,27.419895511450193,28.30601977532538,26.830669782536262,26.830669782536262,-0.020130531127214243,-0.020130531127214243,-0.020130531127214243,-0.021581163327284554,-0.021581163327284554,-0.021581163327284554,0.02939434471673797,0.02939434471673797,0.02939434471673797,0.10950249369464489,0.10950249369464489,0.10950249369464489,-0.0046074683085272315,-0.0046074683085272315,-0.0046074683085272315,0.03144179679968328,0.03144179679968328,0.03144179679968328,-0.03766200093615618,-0.03766200093615618,-0.03766200093615618,0.0011204223032964442,0.0011204223032964442,0.0011204223032964442,0.1549322985777546,0.1549322985777546,0.1549322985777546,-0.09366475330674562,-0.09366475330674562,-0.09366475330674562,0.02971907898782232,0.02971907898782232,0.02971907898782232,0.0618774023924071,0.0618774023924071,0.0618774023924071,-0.017951710198457503,-0.017951710198457503,-0.017951710198457503,-0.03393802531994854,-0.03393802531994854,-0.03393802531994854,0.02311917708215147,0.02311917708215147,0.02311917708215147,-0.022970741097914027,-0.022970741097914027,-0.022970741097914027,-0.017141586494736998,-0.017141586494736998,-0.017141586494736998,-0.0012243869160548319,-0.0012243869160548319,-0.0012243869160548319,1.0334730247750217,1.0334730247750217,1.0334730247750217,0.17023464752145834,0.17023464752145834,0.17023464752145834,0.8632383772535634,0.8632383772535634,0.8632383772535634,0.0,0.0,0.0,27.864142807311282
1970-05-01,26.827372326228122,27.503755795255426,28.43076384652338,26.827372326228122,26.827372326228122,-0.005720488623843985,-0.005720488623843985,-0.005720488623843985,0.00015951458140084574,0.00015951458140084574,0.00015951458140084574,0.04763014455893675,0.04763014455893675,0.04763014455893675,-0.009952371044355014,-0.009952371044355014,-0.009952371044355014,-0.0005141455770425803,-0.0005141455770425803,-0.0005141455770425803,0.0643366061310054,0.0643366061310054,0.0643366061310054,-0.021380303213333247,-0.021380303213333247,-0.021380303213333247,-0.01916945241408302,-0.01916945241408302,-0.01916945241408302,-0.027231163953001878,-0.027231163953001878,-0.027231163953001878,0.09172397885612653,0.09172397885612653,0.09172397885612653,0.06606768847665048,0.06606768847665048,0.06606768847665048,0.02583972919536294,0.02583972919536294,0.02583972919536294,0.002528855373293466,0.002528855373293466,0.002528855373293466,-0.04544538774339949,-0.04544538774339949,-0.04544538774339949,0.007524566957355069,0.007524566957355069,0.007524566957355069,0.02001562326365046,0.02001562326365046,0.02001562326365046,-0.04435482917290297,-0.04435482917290297,-0.04435482917290297,0.009446082375438994,0.009446082375438994,0.009446082375438994,1.157332257956499,1.157332257956499,1.157332257956499,0.1615046480272588,0.1615046480272588,0.1615046480272588,0.9958276099292402,0.9958276099292402,0.9958276099292402,0.0,0.0,0.0,27.98470458418462
1970-06-01,26.823964954709705,26.659239853570085,27.588699356472475,26.823964954709705,26.823964954709705,0.02495895670591205,0.02495895670591205,0.02495895670591205,-0.0029850223729726046,-0.0029850223729726046,-0.0029850223729726046,0.07234978434502842,0.07234978434502842,0.07234978434502842,-0.01343375143747706,-0.01343375143747706,-0.01343375143747706,-0.000643408400142096,-0.000643408400142096,-0.000643408400142096,0.16055392342512262,0.16055392342512262,0.16055392342512262,-0.06248491713652556,-0.06248491713652556,-0.06248491713652556,-0.005427019538127427,-0.005427019538127427,-0.005427019538127427,-0.05031523909464045,-0.05031523909464045,-0.05031523909464045,0.011658273003768952,0.011658273003768952,0.011658273003768952,0.10572071700991753,0.10572071700991753,0.10572071700991753,-0.05584566338460382,-0.05584566338460382,-0.05584566338460382,0.011440246499933202,0.011440246499933202,0.011440246499933202,-0.0563470995129846,-0.0563470995129846,-0.0563470995129846,0.007124705159283366,0.007124705159283366,0.007124705159283366,-0.0004916331290225064,-0.0004916331290225064,-0.0004916331290225064,-0.03686494586698573,-0.03686494586698573,-0.03686494586698573,-0.0026124154417776044,-0.0026124154417776044,-0.0026124154417776044,0.287996827164506,0.287996827164506,0.287996827164506,0.10635549083370673,0.10635549083370673,0.10635549083370673,0.18164133633079924,0.18164133633079924,0.18164133633079924,0.0,0.0,0.0,27.11196178187421
1970-07-01,26.82066749840156,25.848509278063663,26.74631940330136,26.82066749840156,26.82066749840156,0.01798635549460386,0.01798635549460386,0.01798635549460386,-0.004231993923844834,-0.004231993923844834,-0.004231993923844834,0.018047624814925407,0.018047624814925407,0.018047624814925407,0.02899557210369778,0.02899557210369778,0.02899557210369778,-0.003013226823633209,-0.003013226823633209,-0.003013226823633209,0.011704911200890006,0.011704911200890006,0.011704911200890006,0.09659527700777712,0.09659527700777712,0.09659527700777712,0.012560458048201889,0.012560458048201889,0.012560458048201889,0.023955263534979274,0.023955263534979274,0.023955263534979274,-0.03734092868505558,-0.03734092868505558,-0.03734092868505558,0.14454764078207485,0.14454764078207485,0.14454764078207485,-0.135128544418101,-0.135128544418101,-0.135128544418101,0.008000762205440673,0.008000762205440673,0.008000762205440673,0.007549044469861497,0.007549044469861497,0.007549044469861497,-0.04225822690257189,-0.04225822690257189,-0.04225822690257189,-0.02237918562504846,-0.02237918562504846,-0.02237918562504846,0.040780177737689674,0.040780177737689674,0.040780177737689674,-0.026989666424783832,-0.026989666424783832,-0.026989666424783832,-0.5185957092891027,-0.5185957092891027,-0.5185957092891027,0.1393813145971033,0.1393813145971033,0.1393813145971033,-0.657977023886206,-0.657977023886206,-0.657977023886206,0.0,0.0,0.0,26.302071789112457
1970-08-01,26.81726012688314,25.289725674689446,26.2482843767275,26.81726012688314,26.81726012688314,0.03890415912852843,0.03890415912852843,0.03890415912852843,-0.006725937025589295,-0.006725937025589295,-0.006725937025589295,-0.1063610541085196,-0.1063610541085196,-0.1063610541085196,0.06663799760432981,0.06663799760432981,0.06663799760432981,0.010128493524817511,0.010128493524817511,0.010128493524817511,-0.044216264662357604,-0.044216264662357604,-0.044216264662357604,0.0362729215101053,0.0362729215101053,0.0362729215101053,0.0009765224826058089,0.0009765224826058089,0.0009765224826058089,-0.09949435570073999,-0.09949435570073999,-0.09949435570073999,0.06217291392008288,0.06217291392008288,0.06217291392008288,0.12885165032099002,0.12885165032099002,0.12885165032099002,-0.1663611945222059,-0.1663611945222059,-0.1663611945222059,-0.020922173907337416,-0.020922173907337416,-0.020922173907337416,0.0033094898928006187,0.0033094898928006187,0.0033094898928006187,0.0027262253804946424,0.0027262253804946424,0.0027262253804946424,-0.0002944479714006513,-0.0002944479714006513,-0.0002944479714006513,0.08022689648218717,0.08022689648218717,0.08022689648218717,-0.013716643647559808,-0.013716643647559808,-0.013716643647559808,-1.0483067613532588,-1.0483067613532588,-1.0483067613532588,-0.027884801298768098,-0.027884801298768098,-0.027884801298768098,-1.020421960054491,-1.020421960054491,-1.020421960054491,0.0,0.0,0.0,25.76895336552988
1970-09-01,26.813852755364728,25.524387053027755,26.406007927648414,26.813852755364728,26.813852755364728,0.046806440501344374,0.046806440501344374,0.046806440501344374,0.013713553177838128,0.013713553177838128,0.013713553177838128,-0.023286854827391838,-0.023286854827391838,-0.023286854827391838,-0.04476617497557538,-0.04476617497557538,-0.04476617497557538,-0.0051676072086251305,-0.0051676072086251305,-0.0051676072086251305,0.014583207017380691,0.014583207017380691,0.014583207017380691,-0.03819582709100283,-0.03819582709100283,-0.03819582709100283,-0.00039052581395521905,-0.00039052581395521905,-0.00039052581395521905,0.10625500969212545,0.10625500969212545,0.10625500969212545,-0.10351510828542682,-0.10351510828542682,-0.10351510828542682,0.09002472654883265,0.09002472654883265,0.09002472654883265,-0.16876370606867555,-0.16876370606867555,-0.16876370606867555,0.003310556349314494,0.003310556349314494,0.003310556349314494,-0.050896243628192055,-0.050896243628192055,-0.050896243628192055,0.0357148237214101,0.0357148237214101,0.0357148237214101,0.049396211749306924,0.049396211749306924,0.049396211749306924,-0.04310651528858344,-0.04310651528858344,-0.04310651528858344,0.04284551877564326,0.04284551877564326,0.04284551877564326,-0.8525632688092001,-0.8525632688092001,-0.8525632688092001,-0.07543851565423222,-0.07543851565423222,-0.07543851565423222,-0.7771247531549678,-0.7771247531549678,-0.7771247531549678,0.0,0.0,0.0,25.96128948655553
1970-10-01,26.81055529905658,25.82738485987778,26.743206379453788,26.81055529905658,26.81055529905658,0.03425575832098963,0.03425575832098963,0.03425575832098963,-0.0030934546817441024,-0.0030934546817441024,-0.0030934546817441024,0.07518646432048158,0.07518646432048158,0.07518646432048158,-0.05303445340924023,-0.05303445340924023,-0.05303445340924023,-0.0019360366311372483,-0.0019360366311372483,-0.0019360366311372483,0.09805378569561056,0.09805378569561056,0.09805378569561056,-0.054210611736402424,-0.054210611736402424,-0.054210611736402424,0.0039984187171091335,0.0039984187171091335,0.0039984187171091335,0.08668372859377972,0.08668372859377972,0.08668372859377972,0.009890260571697956,0.009890260571697956,0.009890260571697956,0.09002472654883265,0.09002472654883265,0.09002472654883265,-0.1615561714292667,-0.1615561714292667,-0.1615561714292667,-0.008727638681409359,-0.008727638681409359,-0.008727638681409359,-0.04483973708953365,-0.04483973708953365,-0.04483973708953365,-0.004071425186724304,-0.004071425186724304,-0.004071425186724304,-0.057280958524116875,-0.057280958524116875,-0.057280958524116875,0.02754805056390255,0.02754805056390255,0.02754805056390255,-0.02456061650476898,-0.02456061650476898,-0.02456061650476898,-0.5231970729885813,-0.5231970729885813,-0.5231970729885813,0.01233008945805989,0.01233008945805989,0.01233008945805989,-0.535527162446641,-0.535527162446641,-0.535527162446641,0.0,0.0,0.0,26.287358226068
