,AverageTemperature,BEST_Category,BEST,BEST_Category_t-1,BEST_Category_t-2,BEST_Category_t-3,BEST_Category_t-4,BEST_Category_t-5,BEST_Category_t-6,BEST_Category_t-7,BEST_Category_t-8,BEST_Category_t-9,BEST_Category_t-10,BEST_Category_t-11,BEST_Category_t-12,NINA_Category,NINA,NINA_Category_t-1,NINA_Category_t-2,NINA_Category_t-3,NINA_Category_t-4,NINA_Category_t-5,NINA_Category_t-6,NINA_Category_t-7,NINA_Category_t-8,NINA_Category_t-9,NINA_Category_t-10,NINA_Category_t-11,NINA_Category_t-12,ONI_Category,ONI,ONI_Category_t-1,ONI_Category_t-2,ONI_Category_t-3,ONI_Category_t-4,ONI_Category_t-5,ONI_Category_t-6,ONI_Category_t-7,ONI_Category_t-8,ONI_Category_t-9,ONI_Category_t-10,ONI_Category_t-11,ONI_Category_t-12,EA,EPNP,NAO,PNA,WP
Correlation,1.0,0.05919815828281863,-0.08174878921537497,0.01515912565002577,-0.028640357293578975,-0.0656780058287366,-0.08356642423812048,-0.07690689750943086,-0.04678261670883554,-0.009102539461764227,0.031269069094224895,0.06233340094784642,0.07574591507941662,0.06992594649436833,0.036061137122051376,0.011950569593538806,-0.07469418004353445,0.05055206239464113,0.07995517237390289,0.08916806368599868,0.07743756751223849,0.04821721360320979,0.007076989542352181,-0.031076267270337323,-0.058787738192818,-0.06897498916626775,-0.06259048984919909,-0.03886529025808273,-0.0070354443824397145,0.005000876248310519,-0.19023919534645808,-0.007266974902596791,-0.01641604388058414,-0.017860012171524418,-0.016122955892906302,-0.010411229275898918,0.0028340932441572376,0.017893769973647652,0.016733007194768616,0.01042705540164623,0.0027555590310803105,-0.012554787874679112,-0.023232525731569417,0.07851405823161914,0.03834234786733638,0.07626025659544593,-0.01156846507647671,0.14538061748463837
Normality,0.0,2.303824488006704e-13,2.409089902213735e-14,2.303824488006704e-13,2.303824488006712e-13,2.303824488006755e-13,2.3038244880066866e-13,2.3038244880066866e-13,2.3038244880066866e-13,2.3038244880066866e-13,2.3038244880066866e-13,2.3038244880066866e-13,2.3038244880066866e-13,2.3038244880066866e-13,2.2209377544639086e-13,3.220298980553713e-25,3.463284943597468e-29,3.2202989805538517e-25,3.220298980553713e-25,3.2202989805538517e-25,3.2202989805538517e-25,3.2202989805538517e-25,3.2202989805538517e-25,3.2202989805538517e-25,3.2202989805538517e-25,3.2202989805538517e-25,3.2202989805538517e-25,3.2202989805538517e-25,3.2202989805538517e-25,2.907454360000513e-13,1.649730834709718e-14,4.2768582881484675e-13,4.276858288148436e-13,4.276858288148436e-13,4.2768582881484675e-13,4.276858288148436e-13,4.276858288148436e-13,4.276858288148436e-13,6.271873537328225e-13,9.169151404750931e-13,1.3363473412061716e-12,1.9416317438172933e-12,1.8775242432781335e-12,0.9428374990875352,0.05695676529688991,0.665940699233085,0.3792130154545444,0.4701263946633524
Stationary_ADF,0.0002986732838076909,4.190211787124426e-06,1.6883751472980642e-10,4.214637191227527e-06,6.200258650354512e-10,6.200258650354557e-10,6.200258650354557e-10,6.200258650354557e-10,4.850033144678841e-06,4.926297223778623e-06,4.9257445282182625e-06,6.200258650354512e-10,5.104316393703374e-06,4.9980587336615545e-06,5.699176392582303e-10,8.181155010400356e-09,3.148161941502415e-09,8.181155010400356e-09,8.181155010400356e-09,8.181155010400356e-09,8.181155010400356e-09,8.181155010400356e-09,8.181155010400356e-09,8.181155010400356e-09,8.181155010400356e-09,8.181155010400356e-09,8.181155010400356e-09,8.181155010400356e-09,8.181155010400356e-09,2.3837431120800825e-10,2.856129664981514e-06,2.499005123931973e-10,2.09843126501463e-10,2.0854980490843806e-10,2.9043584055038965e-10,2.9043584055038965e-10,2.9043584055038965e-10,2.9043584055038965e-10,3.175653361992043e-10,3.3247722319880674e-10,3.75420293276607e-09,7.523852996965324e-09,4.744901023281908e-09,1.515373636315695e-20,0.001883407630512248,2.0963270907802695e-30,6.155458296968759e-25,0.0
Stationarity_KPSS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.01649326956713633,0.09620279369956447,0.049037229716828896,0.1,0.1
Co-integration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granger_Causality_pvals,0.0,0.9637,0.9135,0.9786,0.9539,0.8994,0.8207,0.8273,0.9933,0.9909,0.9839,0.9478,0.8197,0.8737,0.8681,0.9585,0.4942,0.919,0.9296,0.9243,0.8512,0.9596,0.9722,0.9696,0.9057,0.9664,0.992,0.7197,0.8667,0.9616,0.8492,0.8538,0.8941,0.9866,0.8664,0.8765,0.5805,0.9143,0.9982,0.9171,0.9497,0.9653,0.9,0.9825,0.7138,0.5071,0.6564,0.7397
Granger_Causality_Lags,0.0,5.0,4.0,4.0,3.0,3.0,7.0,5.0,4.0,4.0,3.0,2.0,1.0,4.0,4.0,11.0,2.0,10.0,3.0,1.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,4.0,3.0,3.0,1.0,1.0,2.0,21.0,11.0,1.0,1.0,3.0,3.0,3.0,10.0,11.0,9.0,1.0,1.0
TLCC_Lags,0.0,16.0,13.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,14.0,2.0,1.0,0.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,15.0,14.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,23.0,23.0,22.0,20.0,19.0,5.0,16.0,17.0,23.0,0.0
