ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1976-01-01,-10.632,-1.74,-1.08,-1.55,-0.71,-1.57,1.04,-0.25,0.24
1976-02-01,-4.0889999999999995,-1.42,-1.41,-1.65,1.63,-1.21,-0.7,-2.38,-0.4
1976-03-01,-0.6809999999999999,-1.24,-1.61,-1.56,0.32,-2.09,1.3,-1.78,-0.22
1976-04-01,6.681,-0.97,-1.44,-1.17,0.92,0.6,0.17,0.92,0.42
1976-05-01,10.34,-0.35,-1.81,-0.73,0.61,0.99,-1.15,0.58,-0.89
1976-06-01,18.66,-0.57,-1.9,-0.47,0.86,0.81,-1.04,-1.32,-0.46
1976-07-01,18.538,0.14,-1.1,-0.28,-1.58,-0.56,-1.89,-0.12,-0.77
1976-08-01,17.987000000000005,0.86,-0.67,-0.05,-0.68,-1.14,-0.43,-0.62,-0.46
1976-09-01,13.736,0.89,-0.66,0.18,-0.31,-0.72,-0.54,-0.04,0.37
1976-10-01,5.484,1.08,-0.34,0.35,2.24,-0.3,1.57,0.91,-0.45
1976-11-01,-1.2799999999999998,0.45,0.33,0.62,1.97,0.07,-0.46,1.72,-0.61
1976-12-01,-9.08,0.11,0.43,0.81,-1.0,-0.83,1.67,0.21,1.59
1977-01-01,-12.886,0.6,0.76,0.86,1.69,-1.52,-0.08,1.6,0.32
1977-02-01,-7.897,0.65,0.82,0.85,0.96,-0.9,0.3,2.43,0.22
1977-03-01,0.9299999999999996,-0.01,0.91,0.71,-0.48,-0.03,-0.09,-0.69,0.0
1977-04-01,6.8050000000000015,0.78,0.78,0.64,-1.78,-1.21,-0.8,-0.32,1.04
1977-05-01,14.258,0.33,0.66,0.34,-0.49,0.23,0.61,-0.56,-1.01
1977-06-01,15.775,0.72,0.88,0.23,-1.73,1.82,0.38,0.57,-0.71
1977-07-01,20.116,1.2,0.56,0.21,0.45,1.53,0.14,-1.04,-0.39
1977-08-01,17.557000000000002,1.23,0.22,0.34,-1.01,2.19,0.94,2.2,-0.06
1977-09-01,14.626,0.85,-0.64,0.35,-1.21,1.47,1.11,-0.72,0.92
1977-10-01,7.460000000000001,0.86,-0.38,0.42,0.3,0.75,-0.29,1.25,1.19
1977-11-01,3.072,1.2,-0.19,0.57,-0.01,-1.4,2.34,-0.22,1.28
1977-12-01,-5.5840000000000005,1.33,-0.23,0.73,-1.13,-1.44,-1.11,-0.8,2.35
1978-01-01,-10.063,1.18,-0.38,0.81,0.88,0.25,0.42,0.13,1.22
1978-02-01,-11.684,0.63,-0.03,0.79,1.01,-1.84,0.04,1.4,0.1
1978-03-01,-5.4289999999999985,1.64,0.27,0.69,-0.87,-0.24,-1.57,-0.18,-0.66
1978-04-01,3.0280000000000005,0.4,0.19,0.42,0.33,0.03,-1.72,-0.19,0.23
1978-05-01,13.055,0.11,0.25,0.06,-0.63,1.69,-1.0,-0.73,-1.11
1978-06-01,16.206,-1.0,0.14,-0.18,-0.98,-0.47,-1.25,-0.92,-1.08
1978-07-01,19.325,-0.43,0.0,-0.31,-0.24,-0.29,0.56,-2.43,0.08
1978-08-01,19.069000000000006,-0.45,-0.46,-0.29,1.22,0.05,-0.75,0.02,1.83
1978-09-01,14.197000000000001,-0.48,-0.94,-0.36,0.1,1.405,-0.27,1.38,0.97
1978-10-01,7.56,-0.34,-1.15,-0.42,-0.14,2.76,-0.42,0.69,-0.43
1978-11-01,1.959,0.16,-0.97,-0.42,0.38,0.48,-0.49,-0.48,0.17
1978-12-01,-4.3290000000000015,0.07,-0.86,-0.29,1.73,1.38,0.51,-1.02,0.96
1979-01-01,-9.341,0.18,-1.02,-0.08,0.83,0.82,1.08,-1.54,0.77
1979-02-01,-12.785,0.26,-0.72,0.0,1.42,-0.23,-0.21,-2.73,2.13
1979-03-01,0.20699999999999985,-0.25,-0.41,0.03,1.1,0.5,-1.02,0.08,1.67
1979-04-01,4.2,0.32,-0.31,0.07,0.29,1.7,0.26,-0.15,-0.27
1979-05-01,11.436,0.47,0.01,0.2,-0.79,0.77,-2.94,1.27,-0.67
1979-06-01,17.064,-0.18,-0.32,0.28,-0.2,-0.48,0.33,-1.64,-0.01
1979-07-01,19.595,-0.08,-0.29,0.23,-0.1,0.43,-1.42,0.51,-0.15
