ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,BEST,BEST_lower,BEST_upper,EA,EA_lower,EA_upper,EPNP,EPNP_lower,EPNP_upper,NAO,NAO_lower,NAO_upper,NINA,NINA_lower,NINA_upper,ONI,ONI_lower,ONI_upper,PNA,PNA_lower,PNA_upper,WP,WP_lower,WP_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1971-06-01,12.662868094446559,18.02929663808214,20.54475508550689,12.662868094446559,12.662868094446559,-0.004193541699441915,-0.004193541699441915,-0.004193541699441915,-0.02513874628870162,-0.02513874628870162,-0.02513874628870162,0.012598809744286024,0.012598809744286024,0.012598809744286024,0.014690953942630838,0.014690953942630838,0.014690953942630838,-0.12535297064930123,-0.12535297064930123,-0.12535297064930123,-0.12713354239636895,-0.12713354239636895,-0.12713354239636895,-0.21980022593753634,-0.21980022593753634,-0.21980022593753634,0.006379544772607499,0.006379544772607499,0.006379544772607499,6.6034567095319,6.6034567095319,6.6034567095319,-0.46794971851182565,-0.46794971851182565,-0.46794971851182565,7.071406428043725,7.071406428043725,7.071406428043725,0.0,0.0,0.0,19.26632480397846
1971-07-01,12.663429775708199,22.33728819986727,24.714634881786232,12.663429775708199,12.663429775708199,-0.0028824563150070615,-0.0028824563150070615,-0.0028824563150070615,0.02596987462427114,0.02596987462427114,0.02596987462427114,0.03623520241771379,0.03623520241771379,0.03623520241771379,0.016260884818020745,0.016260884818020745,0.016260884818020745,-0.1244779364618118,-0.1244779364618118,-0.1244779364618118,-0.10813905728451753,-0.10813905728451753,-0.10813905728451753,0.6277900640973001,0.6277900640973001,0.6277900640973001,0.00011048208528978534,0.00011048208528978534,0.00011048208528978534,10.856379964801743,10.856379964801743,10.856379964801743,0.4708670579812591,0.4708670579812591,0.4708670579812591,10.385512906820482,10.385512906820482,10.385512906820482,0.0,0.0,0.0,23.51980974050994
1971-08-01,12.66401017967856,23.699440130358912,26.217588421835988,12.66401017967856,12.66401017967856,-0.0018892098116473242,-0.0018892098116473242,-0.0018892098116473242,-0.045582194653890726,-0.045582194653890726,-0.045582194653890726,0.0010432399928324509,0.0010432399928324509,0.0010432399928324509,-0.011683884763919582,-0.011683884763919582,-0.011683884763919582,-0.10085201339959714,-0.10085201339959714,-0.10085201339959714,-0.1097219310438385,-0.1097219310438385,-0.1097219310438385,0.27745274421623434,0.27745274421623434,0.27745274421623434,0.0009731971340032321,0.0009731971340032321,0.0009731971340032321,12.329143198661926,12.329143198661926,12.329143198661926,0.009739947670176835,0.009739947670176835,0.009739947670176835,12.319403250991748,12.319403250991748,12.319403250991748,0.0,0.0,0.0,24.993153378340487
1971-09-01,12.664590583648918,19.135167266116152,21.650344206651177,12.664590583648918,12.664590583648918,-0.004590840300785811,-0.004590840300785811,-0.004590840300785811,-0.04996293358928839,-0.04996293358928839,-0.04996293358928839,-0.001583025859770634,-0.001583025859770634,-0.001583025859770634,-0.01963820119922844,-0.01963820119922844,-0.01963820119922844,-0.07810112452487192,-0.07810112452487192,-0.07810112452487192,-0.1192191735997642,-0.1192191735997642,-0.1192191735997642,-0.08418577953196249,-0.08418577953196249,-0.08418577953196249,-0.0023626343876887623,-0.0023626343876887623,-0.0023626343876887623,7.714535493064664,7.714535493064664,7.714535493064664,-0.3596437129933607,-0.3596437129933607,-0.3596437129933607,8.074179206058025,8.074179206058025,8.074179206058025,0.0,0.0,0.0,20.379126076713582
1971-10-01,12.665152264910558,13.586564557823369,16.074460546835322,12.665152264910558,12.665152264910558,-0.004710029881188979,-0.004710029881188979,-0.004710029881188979,-0.06675576617497943,-0.06675576617497943,-0.06675576617497943,-0.0042092917123737195,-0.0042092917123737195,-0.0042092917123737195,-0.0014270030447055288,-0.0014270030447055288,-0.0014270030447055288,-0.08510139802478738,-0.08510139802478738,-0.08510139802478738,-0.11447055232180134,-0.11447055232180134,-0.11447055232180134,0.48087441382459517,0.48087441382459517,0.48087441382459517,0.0005705967779369571,0.0005705967779369571,0.0005705967779369571,2.1345270000090766,2.1345270000090766,2.1345270000090766,0.2047709694426957,0.2047709694426957,0.2047709694426957,1.9297560305663808,1.9297560305663808,1.9297560305663808,0.0,0.0,0.0,14.799679264919636
1971-11-01,12.665732668880919,7.698486976280053,10.116990355765275,12.665732668880919,12.665732668880919,-0.005226518062936043,-0.005226518062936043,-0.005226518062936043,0.0011456873236843695,0.0011456873236843695,0.0011456873236843695,0.10294235507383213,0.10294235507383213,0.10294235507383213,-6.63962860342766e-05,-6.63962860342766e-05,-6.63962860342766e-05,-0.09560180827466054,-0.09560180827466054,-0.09560180827466054,-0.1223849211184061,-0.1223849211184061,-0.1223849211184061,0.07026400665216326,0.07026400665216326,0.07026400665216326,0.0005130824413560605,0.0005130824413560605,0.0005130824413560605,-3.759669598683848,-3.759669598683848,-3.759669598683848,-0.048414512251001164,-0.048414512251001164,-0.048414512251001164,-3.711255086432848,-3.711255086432848,-3.711255086432848,0.0,0.0,0.0,8.90606307019707
1971-12-01,12.666294350142559,2.8998920128507812,5.407746396653027,12.666294350142559,12.666294350142559,-0.00296191603527584,-0.00296191603527584,-0.00296191603527584,-0.11932463339975141,-0.11932463339975141,-0.11932463339975141,0.00997254389168294,0.00997254389168294,0.00997254389168294,-0.000694368636190239,-0.000694368636190239,-0.000694368636190239,-0.08510139802478738,-0.08510139802478738,-0.08510139802478738,-0.12713354239636895,-0.12713354239636895,-0.12713354239636895,0.6353242000087209,0.6353242000087209,0.6353242000087209,-0.0027364775754645894,-0.0027364775754645894,-0.0027364775754645894,-8.5030879867424,-8.5030879867424,-8.5030879867424,0.3073444078325654,0.3073444078325654,0.3073444078325654,-8.810432394574969,-8.810432394574969,-8.810432394574969,0.0,0.0,0.0,4.163206363400159
1972-01-01,12.666874754112918,0.9416056809582445,3.548592645359887,12.666874754112918,12.666874754112918,-0.002087859112319271,-0.002087859112319271,-0.002087859112319271,0.024509628312471915,0.024509628312471915,0.024509628312471915,0.10084134239174966,0.10084134239174966,0.10084134239174966,0.00506204457357275,0.00506204457357275,0.00506204457357275,-0.10347711596206544,-0.10347711596206544,-0.10347711596206544,-0.14454515374889937,-0.14454515374889937,-0.14454515374889937,0.8990189569084476,0.8990189569084476,0.8990189569084476,-0.0027652347437550377,-0.0027652347437550377,-0.0027652347437550377,-10.397187173440566,-10.397187173440566,-10.397187173440566,0.776556608619203,0.776556608619203,0.776556608619203,-11.173743782059768,-11.173743782059768,-11.173743782059768,0.0,0.0,0.0,2.269687580672352
1972-02-01,12.66745515808328,1.1953138767863996,3.7244902952572247,12.66745515808328,12.66745515808328,-0.0018494799515129342,-0.0018494799515129342,-0.0018494799515129342,-0.13903795860904092,-0.13903795860904092,-0.13903795860904092,0.05829583557957968,0.05829583557957968,0.05829583557957968,0.00788792014927458,0.00788792014927458,0.00788792014927458,-0.07810112452487192,-0.07810112452487192,-0.07810112452487192,-0.1350479111929737,-0.1350479111929737,-0.1350479111929737,0.8274446657499505,0.8274446657499505,0.8274446657499505,0.004452814497147468,0.004452814497147468,0.004452814497147468,-10.203385000489234,-10.203385000489234,-10.203385000489234,0.5440447616975527,0.5440447616975527,0.5440447616975527,-10.747429762186789,-10.747429762186789,-10.747429762186789,0.0,0.0,0.0,2.464070157594046
1972-03-01,12.667998116636197,4.100376798027078,6.723878233099495,12.667998116636197,12.667998116636197,-0.002087859112319271,-0.002087859112319271,-0.002087859112319271,0.10117255968193105,0.10117255968193105,0.10117255968193105,0.013124062914806642,0.013124062914806642,0.013124062914806642,0.012493050717084972,0.012493050717084972,0.012493050717084972,-0.10347711596206544,-0.10347711596206544,-0.10347711596206544,-0.10497330976587566,-0.10497330976587566,-0.10497330976587566,0.009990919360797108,0.009990919360797108,0.009990919360797108,-0.003886764307082518,-0.003886764307082518,-0.003886764307082518,-7.259401561695418,-7.259401561695418,-7.259401561695418,-0.07764445647272311,-0.07764445647272311,-0.07764445647272311,-7.181757105222695,-7.181757105222695,-7.181757105222695,0.0,0.0,0.0,5.408596554940779
1972-04-01,12.668578520606559,10.12794245694898,12.63193138520441,12.668578520606559,12.668578520606559,-0.0010151528886907547,-0.0010151528886907547,-0.0010151528886907547,-0.11640414077615295,-0.11640414077615295,-0.11640414077615295,-0.11661347020378576,-0.11661347020378576,-0.11661347020378576,0.01898209833536325,0.01898209833536325,0.01898209833536325,-0.10172704758708657,-0.10172704758708657,-0.10172704758708657,-0.0479898544303215,-0.0479898544303215,-0.0479898544303215,0.7068984911672181,0.7068984911672181,0.7068984911672181,-0.0012986191609421782,-0.0012986191609421782,-0.0012986191609421782,-1.2393730569158885,-1.2393730569158885,-1.2393730569158885,0.34083230445560164,0.34083230445560164,0.34083230445560164,-1.5802053613714897,-1.5802053613714897,-1.5802053613714897,0.0,0.0,0.0,11.429205463690671
1972-05-01,12.669140201868197,14.611456841034153,17.17725525357622,12.6691402018682,12.6691402018682,0.0015275581599101737,0.0015275581599101737,0.0015275581599101737,-0.03828096309489462,-0.03828096309489462,-0.03828096309489462,-0.09507809021244044,-0.09507809021244044,-0.09507809021244044,0.001712858706074284,0.001712858706074284,0.001712858706074284,-0.11660262877440689,-0.11660262877440689,-0.11660262877440689,0.01690796970183741,0.01690796970183741,0.01690796970183741,-0.10678818726622478,-0.10678818726622478,-0.10678818726622478,-0.0014999193389753152,-0.0014999193389753152,-0.0014999193389753152,3.159258772270544,3.159258772270544,3.159258772270544,-0.3381014021191202,-0.3381014021191202,-0.3381014021191202,3.497360174389664,3.497360174389664,3.497360174389664,0.0,0.0,0.0,15.828398974138741
