horizon,mse,rmse,mae,mape,mdape,coverage,Model
365 days,3.678548065559657,1.9179541354160836,1.6616968712964069,0.24794434505455581,0.1475813747039853,0.9009009009009008,indices
365 days,3.8174732736380177,1.9538355288094282,1.6535382986858211,0.28263791724039,0.12047349404516362,0.9009009009009006,tele_diff
365 days,3.648032079660748,1.9099822197237197,1.5206104887641747,0.19785116779908202,0.11996730457942624,0.7567567567567567,lagged_tele
365 days,4.0307194396519845,2.0076651712006126,1.7572102182929887,0.2632530832267567,0.1583693824795139,0.9189189189189189,elnino_cat
365 days,3.5870041647547075,1.8939387964648455,1.7017191901143485,0.2683661022043396,0.15355721401999897,0.8918918918918918,lagged_elnino
365 days,6.71017405011424,2.5904003648305487,2.004218860242791,0.2830641231199624,0.19350326772320461,0.8018018018018017,ideal_lag
365 days,3.176424963893516,1.7822527777769113,1.475801804871913,0.2117108233563244,0.10248698275612905,0.8468468468468465,overfitted
