ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1971-06-01,19.603,-1.0,-1.58,-0.85,0.38,-0.27,-1.41,0.51,-2.17
1971-07-01,24.233,-0.67,-1.57,-0.73,-0.32,-0.72,-1.56,-1.74,0.01
1971-08-01,25.486,-0.42,-1.3,-0.74,0.66,-0.05,1.11,-0.81,-0.29
1971-09-01,22.03,-1.1,-1.04,-0.8,0.72,0.0,1.87,0.15,0.87
1971-10-01,15.670000000000002,-1.13,-1.12,-0.77,0.95,0.05,0.13,-1.35,-0.15
1971-11-01,11.681,-1.26,-1.24,-0.82,0.02,-1.99,0.0,-0.26,-0.13
1971-12-01,6.635999999999999,-0.69,-1.12,-0.85,1.67,-0.22,0.06,-1.76,1.0
1972-01-01,7.915,-0.47,-1.33,-0.96,-0.3,-1.95,-0.49,-2.46,1.01
1972-02-01,11.409,-0.41,-1.04,-0.9,1.94,-1.14,-0.76,-2.27,-1.5
1972-03-01,14.79,-0.47,-1.33,-0.71,-1.35,-0.28,-1.2,-0.1,1.4
1972-04-01,14.224,-0.2,-1.31,-0.35,1.63,2.19,-1.82,-1.95,0.5
1972-05-01,17.541,0.44,-1.48,0.06,0.56,1.78,-0.17,0.21,0.57
1972-06-01,21.243,1.56,-0.73,0.41,-1.07,-0.39,-1.28,-0.15,-2.51
1972-07-01,24.788,1.23,-0.52,0.67,2.15,-0.49,-0.41,-1.13,-1.65
1972-08-01,23.965,1.7,-0.29,0.92,-0.57,-0.34,0.51,-0.04,-0.15
1972-09-01,20.678,1.47,0.0,1.13,0.03,-0.4,-1.28,0.13,-0.08
1972-10-01,15.809000000000001,1.6,0.21,1.37,0.91,-0.46,0.27,-1.49,0.76
1972-11-01,11.28,1.59,0.61,1.58,-0.16,0.15,1.87,0.53,1.64
1972-12-01,7.838999999999999,1.18,1.2,1.84,-1.63,-1.36,0.53,-0.86,0.77
1973-01-01,7.562,1.84,1.63,2.09,1.22,-1.52,1.14,-0.88,-0.87
1973-02-01,10.364,1.06,1.43,2.12,0.47,0.31,-0.34,-0.14,-0.48
1973-03-01,9.274,1.39,1.74,1.84,-0.07,-2.96,0.47,0.53,0.86
1973-04-01,13.673,0.46,1.99,1.25,-0.21,2.2,-0.19,0.11,0.31
1973-05-01,18.135,0.17,2.25,0.54,1.06,1.76,-0.08,0.67,0.45
1973-06-01,21.954,-0.45,1.78,-0.1,-0.89,0.93,0.35,1.01,-0.05
1973-07-01,23.406,-1.07,0.79,-0.54,-0.35,1.48,-0.38,-0.26,-2.26
1973-08-01,23.547,-1.05,0.09,-0.87,-0.32,-0.32,0.93,-0.95,-1.87
1973-09-01,20.079,-1.4,-0.83,-1.11,-0.71,-0.56,1.19,-0.27,-0.01
1973-10-01,16.999000000000002,-1.46,-1.32,-1.28,0.0,-0.8,0.21,-0.74,1.23
1973-11-01,11.14,-1.33,-1.41,-1.45,1.35,0.95,1.57,-1.66,2.06
1973-12-01,9.991,-2.46,-1.66,-1.71,1.67,-1.94,0.03,0.23,-0.32
1974-01-01,8.081,-1.89,-1.62,-1.95,2.91,0.6,1.7,-1.54,1.09
1974-02-01,10.117,-1.96,-1.52,-2.03,1.34,-1.49,0.43,-1.5,-1.61
1974-03-01,11.734000000000002,-1.66,-1.69,-1.84,-0.34,-1.3,0.09,-1.1,0.51
1974-04-01,13.597999999999999,-1.82,-1.82,-1.55,-0.34,-1.27,-0.46,-0.73,0.19
1974-05-01,17.025,-1.23,-1.85,-1.23,0.47,-0.1,0.52,-0.4,0.71
1974-06-01,21.544,-1.18,-1.8,-1.03,-1.65,0.68,-0.09,-1.36,0.47
1974-07-01,24.011,-0.58,-1.34,-0.91,-0.86,-0.62,-0.73,-0.09,1.12
1974-08-01,23.49,-0.93,-0.96,-0.77,1.3,-0.27,-0.36,0.9,0.56
1974-09-01,22.933000000000003,-0.47,-0.81,-0.53,0.72,-0.46,0.7,0.35,1.33
1974-10-01,16.805,-0.7,-0.89,-0.37,1.81,-0.65,0.6,0.93,0.71
1974-11-01,12.517,-0.78,-0.84,-0.41,0.33,-1.12,-0.2,0.53,-1.34
1974-12-01,8.35,-0.26,-0.59,-0.61,0.94,0.32,-0.15,0.38,0.42
1975-01-01,9.223,-0.43,-0.4,-0.75,-0.55,-0.41,-0.84,-1.2,0.06
1975-02-01,9.12,0.11,-0.63,-0.64,-1.46,0.03,-1.11,-0.51,0.06
1975-03-01,10.218,-0.43,-1.03,-0.54,-0.27,-2.29,0.21,-0.81,0.9
1975-04-01,10.166,-0.84,-1.11,-0.57,0.48,-1.52,1.05,-0.67,0.29
1975-05-01,16.558,-0.95,-1.04,-0.65,-0.22,2.42,-0.6,0.6,0.43
1975-07-01,23.218000000000004,-1.58,-0.85,-0.83,0.85,0.18,0.41,-1.53,-0.78
1975-08-01,22.878,-1.83,-0.87,-0.98,-1.69,-1.75,-0.17,-1.1,-1.26
1975-09-01,22.595,-1.76,-0.57,-1.13,-0.51,-1.635,0.17,-0.23,-0.19
1975-10-01,15.891000000000002,-1.9,-1.09,-1.2,0.97,-1.52,-0.73,-0.65,0.36
1975-11-01,11.988,-1.66,-1.4,-1.37,0.45,-0.5,-0.95,-0.63,-0.13
1975-12-01,9.94,-1.36,-1.19,-1.43,2.24,-0.14,0.95,-0.16,0.81
1976-01-01,10.462,-1.74,-1.08,-1.55,-0.71,-1.57,1.04,-0.25,0.24
1976-02-01,10.437,-1.42,-1.41,-1.65,1.63,-1.21,-0.7,-2.38,-0.4
1976-03-01,11.318,-1.24,-1.61,-1.56,0.32,-2.09,1.3,-1.78,-0.22
1976-04-01,12.02,-0.97,-1.44,-1.17,0.92,0.6,0.17,0.92,0.42
1976-05-01,18.034,-0.35,-1.81,-0.73,0.61,0.99,-1.15,0.58,-0.89
1976-06-01,21.259,-0.57,-1.9,-0.47,0.86,0.81,-1.04,-1.32,-0.46
1976-07-01,23.914,0.14,-1.1,-0.28,-1.58,-0.56,-1.89,-0.12,-0.77
1976-08-01,21.987,0.86,-0.67,-0.05,-0.68,-1.14,-0.43,-0.62,-0.46
1976-09-01,21.135,0.89,-0.66,0.18,-0.31,-0.72,-0.54,-0.04,0.37
1976-10-01,18.076,1.08,-0.34,0.35,2.24,-0.3,1.57,0.91,-0.45
1976-11-01,15.04,0.45,0.33,0.62,1.97,0.07,-0.46,1.72,-0.61
1976-12-01,10.495,0.11,0.43,0.81,-1.0,-0.83,1.67,0.21,1.59
1977-01-01,8.988999999999997,0.6,0.76,0.86,1.69,-1.52,-0.08,1.6,0.32
1977-02-01,12.57,0.65,0.82,0.85,0.96,-0.9,0.3,2.43,0.22
1977-03-01,9.911,-0.01,0.91,0.71,-0.48,-0.03,-0.09,-0.69,0.0
1977-04-01,15.212,0.78,0.78,0.64,-1.78,-1.21,-0.8,-0.32,1.04
1977-05-01,14.114999999999998,0.33,0.66,0.34,-0.49,0.23,0.61,-0.56,-1.01
1977-06-01,21.156,0.72,0.88,0.23,-1.73,1.82,0.38,0.57,-0.71
1977-07-01,23.999,1.2,0.56,0.21,0.45,1.53,0.14,-1.04,-0.39
1977-08-01,24.271,1.23,0.22,0.34,-1.01,2.19,0.94,2.2,-0.06
1977-09-01,20.645,0.85,-0.64,0.35,-1.21,1.47,1.11,-0.72,0.92
1977-10-01,18.024,0.86,-0.38,0.42,0.3,0.75,-0.29,1.25,1.19
1977-11-01,14.343,1.2,-0.19,0.57,-0.01,-1.4,2.34,-0.22,1.28
1977-12-01,11.841,1.33,-0.23,0.73,-1.13,-1.44,-1.11,-0.8,2.35
1978-01-01,9.901,1.18,-0.38,0.81,0.88,0.25,0.42,0.13,1.22
1978-02-01,10.539,0.63,-0.03,0.79,1.01,-1.84,0.04,1.4,0.1
1978-03-01,13.48,1.64,0.27,0.69,-0.87,-0.24,-1.57,-0.18,-0.66
1978-04-01,12.474,0.4,0.19,0.42,0.33,0.03,-1.72,-0.19,0.23
1978-05-01,17.855999999999995,0.11,0.25,0.06,-0.63,1.69,-1.0,-0.73,-1.11
1978-06-01,21.328000000000007,-1.0,0.14,-0.18,-0.98,-0.47,-1.25,-0.92,-1.08
1978-07-01,23.811,-0.43,0.0,-0.31,-0.24,-0.29,0.56,-2.43,0.08
1978-08-01,23.416,-0.45,-0.46,-0.29,1.22,0.05,-0.75,0.02,1.83
1978-09-01,21.332,-0.48,-0.94,-0.36,0.1,1.405,-0.27,1.38,0.97
1978-10-01,19.378,-0.34,-1.15,-0.42,-0.14,2.76,-0.42,0.69,-0.43
1978-11-01,11.239,0.16,-0.97,-0.42,0.38,0.48,-0.49,-0.48,0.17
1978-12-01,7.375999999999999,0.07,-0.86,-0.29,1.73,1.38,0.51,-1.02,0.96
1979-01-01,7.271,0.18,-1.02,-0.08,0.83,0.82,1.08,-1.54,0.77
1979-02-01,8.541,0.26,-0.72,0.0,1.42,-0.23,-0.21,-2.73,2.13
1979-03-01,11.437999999999999,-0.25,-0.41,0.03,1.1,0.5,-1.02,0.08,1.67
1979-04-01,13.908,0.32,-0.31,0.07,0.29,1.7,0.26,-0.15,-0.27
1979-05-01,17.554000000000002,0.47,0.01,0.2,-0.79,0.77,-2.94,1.27,-0.67
1979-06-01,21.734,-0.18,-0.32,0.28,-0.2,-0.48,0.33,-1.64,-0.01
1979-07-01,23.6,-0.08,-0.29,0.23,-0.1,0.43,-1.42,0.51,-0.15
1979-08-01,23.027,-0.66,-0.06,0.05,0.15,1.28,1.05,0.67,-1.26
1979-09-01,23.76,0.48,0.07,0.04,-0.83,1.7000000000000002,1.7,1.02,0.18
1979-10-01,16.958000000000002,0.37,-0.05,0.17,0.78,2.12,-1.11,1.85,-0.04
1979-11-01,11.921,0.37,-0.15,0.33,-0.44,-0.18,0.7,0.51,3.39
1979-12-01,10.821,0.5,-0.31,0.45,-0.42,0.83,0.6,-0.68,2.46
1980-01-01,10.684000000000001,0.81,0.13,0.52,-0.26,0.66,2.61,-1.01,0.66
1980-02-01,11.995999999999999,0.21,0.58,0.64,0.65,-0.87,3.06,2.03,0.92
1980-03-01,10.893999999999998,0.21,0.44,0.59,-1.54,-0.48,-1.54,-0.64,-0.76
1980-04-01,14.244000000000002,0.52,0.39,0.46,0.19,-0.24,-2.12,1.66,0.1
1980-05-01,14.811,0.86,0.43,0.34,0.31,1.82,-1.2,-0.16,1.3
1980-06-01,19.331,0.44,0.38,0.38,-0.3,0.58,0.41,-0.81,1.43
1980-07-01,24.52,0.64,0.03,0.48,-1.42,0.87,-2.01,-0.81,-0.66
1980-08-01,23.69,0.26,-0.18,0.46,0.3,0.92,-0.9,-2.03,-0.29
1980-09-01,21.074,-0.12,-0.2,0.25,0.24,0.7250000000000001,1.92,-0.08,0.85
1980-10-01,18.243,0.26,-0.15,0.03,-1.86,0.53,0.86,2.87,-0.13
1980-11-01,13.635,0.11,0.08,-0.07,0.45,0.86,1.11,1.28,1.56
1980-12-01,11.614999999999998,0.31,-0.23,0.02,1.18,0.15,1.13,-0.57,1.72
1981-01-01,10.788,0.33,-0.34,0.11,-0.04,-0.75,0.18,2.46,1.57
1981-02-01,11.925,-0.31,-0.18,-0.01,0.04,-0.7,0.42,0.21,0.35
1981-03-01,11.347999999999999,-0.03,-0.42,-0.26,1.35,1.59,0.84,1.27,0.71
1981-04-01,14.968,0.82,-0.1,-0.5,-1.17,-0.35,-1.38,-1.23,2.48
1981-05-01,17.587999999999994,0.18,0.01,-0.47,0.11,-0.15,-0.39,1.83,0.03
1981-06-01,24.061,-0.35,-0.71,-0.37,-1.13,0.43,-0.73,-0.1,-1.71
1981-07-01,24.657,-0.47,-0.88,-0.26,0.9,1.24,1.26,-1.02,-0.5
1981-08-01,25.279000000000003,-0.58,-0.59,-0.29,1.37,0.15,-1.34,-1.54,1.09
1981-09-01,22.251,-0.29,-0.52,-0.3,0.07,0.585,-0.07,0.08,0.72
1981-10-01,15.472000000000001,-0.19,-0.54,-0.25,-0.34,1.02,-0.39,-1.43,1.85
1981-11-01,13.552,0.32,-0.43,-0.16,-1.08,-0.03,-3.01,1.19,3.29
1981-12-01,10.825999999999999,-0.15,-0.6,-0.13,-2.09,0.03,0.79,-0.42,0.36
1982-01-01,7.891,-0.11,-0.73,-0.15,-0.73,-0.19,-1.41,-1.75,-1.39
1982-02-01,11.142,-0.36,-0.23,-0.08,-2.08,0.48,-0.52,-1.2,-1.68
1982-03-01,10.495999999999999,-0.06,-0.18,-0.05,-1.23,-0.82,0.63,-1.66,0.68
1982-04-01,13.3,0.0,-0.41,0.07,-1.62,-0.94,-0.08,-2.08,0.33
