horizon,mse,rmse,mae,mape,mdape,coverage,Model
365 days,2.1708281179707947,1.4733730410085542,1.2435009719178944,0.29501303670775125,0.0961450932911464,0.8108108108108107,indices
365 days,3.253921767666102,1.8038630124447095,1.2849223910296266,0.42698712866108124,0.09185036981174717,0.8198198198198197,tele_diff
365 days,2.4720657934854424,1.572280443650382,1.230895207225589,0.3690375893922796,0.09043561932919641,0.7207207207207207,lagged_tele
365 days,2.0911137443921963,1.446068374729285,1.1874869859087536,0.3053434324585329,0.10516090507563992,0.8018018018018017,elnino_cat
365 days,1.8308699322730033,1.3530964238637997,1.1092055664280605,0.2897304000885007,0.13955263182140132,0.8378378378378378,lagged_elnino
365 days,1.6683249305803456,1.291636531916137,1.0908255155536233,0.3532151712053544,0.07945984088531477,0.9369369369369369,ideal_lag
365 days,2.4926637661057214,1.5788172047788565,1.210056115342212,0.3807851471128731,0.06345315540286053,0.7207207207207207,overfitted
