ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,BEST,BEST_lower,BEST_upper,EA,EA_lower,EA_upper,EPNP,EPNP_lower,EPNP_upper,NAO,NAO_lower,NAO_upper,NINA,NINA_lower,NINA_upper,ONI,ONI_lower,ONI_upper,PNA,PNA_lower,PNA_upper,WP,WP_lower,WP_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1971-06-01,25.393068790167394,32.380854128901824,34.93609309450143,25.393068790167394,25.393068790167394,0.0711383525196006,0.0711383525196006,0.0711383525196006,-0.004007465283212122,-0.004007465283212122,-0.004007465283212122,-0.01241819841923371,-0.01241819841923371,-0.01241819841923371,-0.04134126233938328,-0.04134126233938328,-0.04134126233938328,-0.11598073633462208,-0.11598073633462208,-0.11598073633462208,-0.050972350108080024,-0.050972350108080024,-0.050972350108080024,-0.011496777443681983,-0.011496777443681983,-0.011496777443681983,-0.36782328247056545,-0.36782328247056545,-0.36782328247056545,8.250879890210625,8.250879890210625,8.250879890210625,-0.5329017198791781,-0.5329017198791781,-0.5329017198791781,8.783781610089804,8.783781610089804,8.783781610089804,0.0,0.0,0.0,33.64394868037802
1971-07-01,25.396199630999682,33.616670889741066,36.15789433255794,25.396199630999682,25.396199630999682,0.04918225140587158,0.04918225140587158,0.04918225140587158,0.00385103547225556,0.00385103547225556,0.00385103547225556,-0.03845768970233169,-0.03845768970233169,-0.03845768970233169,-0.04577485937688,-0.04577485937688,-0.04577485937688,-0.1151818258215229,-0.1151818258215229,-0.1151818258215229,-0.04340672645804694,-0.04340672645804694,-0.04340672645804694,0.03605039031898034,0.03605039031898034,0.03605039031898034,-0.002983016990666381,-0.002983016990666381,-0.002983016990666381,9.467346552284377,9.467346552284377,9.467346552284377,-0.15672044115234046,-0.15672044115234046,-0.15672044115234046,9.624066993436719,9.624066993436719,9.624066993436719,0.0,0.0,0.0,34.86354618328406
1971-09-01,25.402670035386418,30.862208806545784,33.25646125853609,25.402670035386418,25.402670035386418,0.032548841471228385,0.032548841471228385,0.032548841471228385,-0.007150865585399195,-0.007150865585399195,-0.007150865585399195,0.00031221954139196964,0.00031221954139196964,0.00031221954139196964,0.03314316789056152,0.03314316789056152,0.03314316789056152,-0.09361124196784512,-0.09361124196784512,-0.09361124196784512,-0.0440371950955497,-0.0440371950955497,-0.0440371950955497,0.016397560977079912,0.016397560977079912,0.016397560977079912,-0.05319039297413873,-0.05319039297413873,-0.05319039297413873,6.6880603561124765,6.6880603561124765,6.6880603561124765,-0.11558790574267094,-0.11558790574267094,-0.11558790574267094,6.803648261855147,6.803648261855147,6.803648261855147,0.0,0.0,0.0,32.090730391498894
1971-10-01,25.405800876218706,25.33398601478752,28.026643332709114,25.405800876218706,25.405800876218706,0.07779171649345788,0.07779171649345788,0.07779171649345788,-0.007824451364439282,-0.007824451364439282,-0.007824451364439282,0.003205496350625079,0.003205496350625079,0.003205496350625079,0.0556067262138782,0.0556067262138782,0.0556067262138782,-0.07283956862726651,-0.07283956862726651,-0.07283956862726651,-0.047820006920566246,-0.047820006920566246,-0.047820006920566246,-0.0038892306016560124,-0.0038892306016560124,-0.0038892306016560124,0.14094479416195435,0.14094479416195435,0.14094479416195435,1.2411915183887312,1.2411915183887312,1.2411915183887312,0.14517547570598746,0.14517547570598746,0.14517547570598746,1.0960160426827439,1.0960160426827439,1.0960160426827439,0.0,0.0,0.0,26.646992394607437
1971-11-01,25.409036078412075,18.911846336698183,21.425898060357724,25.409036078412075,25.409036078412075,0.07978772568561505,0.07978772568561505,0.07978772568561505,-0.010406530184092948,-0.010406530184092948,-0.010406530184092948,0.0060987731598581875,0.0060987731598581875,0.0060987731598581875,0.004177000578916319,0.004177000578916319,0.004177000578916319,-0.07923085273205994,-0.07923085273205994,-0.07923085273205994,-0.04592860100805797,-0.04592860100805797,-0.04592860100805797,0.02780888124011887,0.02780888124011887,0.02780888124011887,-0.02976028418185163,-0.02976028418185163,-0.02976028418185163,-5.2965948748063925,-5.2965948748063925,-5.2965948748063925,-0.04745388744155407,-0.04745388744155407,-0.04745388744155407,-5.249140987364838,-5.249140987364838,-5.249140987364838,0.0,0.0,0.0,20.112441203605684
1972-01-01,25.41540212143773,11.656063403348199,14.106211000811765,25.41540212143773,25.41540212143773,0.08843709885162952,0.08843709885162952,0.08843709885162952,3.404939102840009e-05,3.404939102840009e-05,3.404939102840009e-05,-0.11194692065685267,-0.11194692065685267,-0.11194692065685267,0.0003345498130858319,0.0003345498130858319,0.0003345498130858319,-0.08881777888925006,-0.08881777888925006,-0.08881777888925006,-0.04908094419557175,-0.04908094419557175,-0.04908094419557175,0.0047749199684291215,0.0047749199684291215,0.0047749199684291215,-0.02641312578295348,-0.02641312578295348,-0.02641312578295348,-12.579920645643227,-12.579920645643227,-12.579920645643227,-0.1826781515004551,-0.1826781515004551,-0.1826781515004551,-12.397242494142773,-12.397242494142773,-12.397242494142773,0.0,0.0,0.0,12.835481475794502
1972-03-01,25.42166380310231,19.185135604407346,21.78947653203393,25.42166380310231,25.42166380310231,0.05051292420064303,0.05051292420064303,0.05051292420064303,-0.018489559532573994,-0.018489559532573994,-0.018489559532573994,-0.0095249216100006,-0.0095249216100006,-0.0095249216100006,0.002107988628084518,0.002107988628084518,0.002107988628084518,-0.07923085273205994,-0.07923085273205994,-0.07923085273205994,-0.050972350108080024,-0.050972350108080024,-0.050972350108080024,0.036473031810204004,0.036473031810204004,0.036473031810204004,0.16270132375479235,0.16270132375479235,0.16270132375479235,-4.930649657407116,-4.930649657407116,-4.930649657407116,0.09357758441100933,0.09357758441100933,0.09357758441100933,-5.024227241818126,-5.024227241818126,-5.024227241818126,0.0,0.0,0.0,20.491014145695193
1972-05-01,25.428029846127966,29.866984883414286,32.30581811392603,25.428029846127966,25.428029846127966,0.03587552345815702,0.03587552345815702,0.03587552345815702,0.0036265068792421975,0.0036265068792421975,0.0036265068792421975,-0.10963229920946618,-0.10963229920946618,-0.10963229920946618,-0.014148533842736767,-0.014148533842736767,-0.014148533842736767,-0.09600797350714266,-0.09600797350714266,-0.09600797350714266,-0.057907505120610346,-0.057907505120610346,-0.057907505120610346,0.051265484003032276,0.051265484003032276,0.051265484003032276,0.16437490295424143,0.16437490295424143,0.16437490295424143,5.616646086321964,5.616646086321964,5.616646086321964,-0.022553894385283033,-0.022553894385283033,-0.022553894385283033,5.639199980707249,5.639199980707249,5.639199980707249,0.0,0.0,0.0,31.04467593244993
1972-06-01,25.431265048321333,32.52505304399173,35.080616483902496,25.431265048321336,25.431265048321336,0.031883505073842654,0.031883505073842654,0.031883505073842654,-0.02152069553825439,-0.02152069553825439,-0.02152069553825439,-0.06276121489988981,-0.06276121489988981,-0.06276121489988981,-0.022129008510230853,-0.022129008510230853,-0.022129008510230853,-0.07283956862726651,-0.07283956862726651,-0.07283956862726651,-0.05412469329559381,-0.05412469329559381,-0.05412469329559381,0.04725038983640746,0.04725038983640746,0.04725038983640746,-0.25569347610747717,-0.25569347610747717,-0.25569347610747717,8.409035629705242,8.409035629705242,8.409035629705242,-0.40993476206846247,-0.40993476206846247,-0.40993476206846247,8.818970391773703,8.818970391773703,8.818970391773703,0.0,0.0,0.0,33.84030067802657
1972-07-01,25.434395889153624,34.33242721375803,36.8912938995563,25.434395889153624,25.434395889153624,0.03587552345815702,0.03587552345815702,0.03587552345815702,0.015414258012443725,0.015414258012443725,0.015414258012443725,-0.012996853781080333,-0.012996853781080333,-0.012996853781080333,-0.03513422648688789,-0.03513422648688789,-0.03513422648688789,-0.09600797350714266,-0.09600797350714266,-0.09600797350714266,-0.042145789183041425,-0.042145789183041425,-0.042145789183041425,0.001393788038639801,0.001393788038639801,0.001393788038639801,0.2296444917327555,0.2296444917327555,0.2296444917327555,10.207555336542963,10.207555336542963,10.207555336542963,0.09604321828384374,0.09604321828384374,0.09604321828384374,10.11151211825912,10.11151211825912,10.11151211825912,0.0,0.0,0.0,35.64195122569659
