,AverageTemperature,BEST,NINA,ONI,EA_first_difference,EA_seasonal_difference,EA_seasonal_first_difference,EPNP_first_difference,EPNP_seasonal_difference,EPNP_seasonal_first_difference,NAO_first_difference,NAO_seasonal_difference,NAO_seasonal_first_difference,PNA_first_difference,PNA_seasonal_difference,PNA_seasonal_first_difference,WP_first_difference,WP_seasonal_difference,WP_seasonal_first_difference
Correlation,1.0,0.031074484530743948,-0.02036282671163144,0.0036840777872516307,0.042119027575715784,-0.0043409376756186864,0.013468599695507205,0.01264734508181057,-0.061753890712131054,-0.021319001314064626,0.04538190804155197,0.019353509269762606,0.018511143184014943,-0.013891801396925094,-0.020454964779441497,-0.021352525233567513,0.028372576460026888,0.018683508512873374,0.008404286820174831
Normality,3.690559384717429e-226,0.9018674978529778,2.55582308091161e-15,0.007308818000895523,0.5791484584884345,0.7045018820882412,0.45784020065760744,0.011846570626025031,0.3358437289091708,0.4814008802112776,0.9112292123511758,0.6825005810592919,0.29771276033899935,0.6701406567531341,0.4262548474474862,0.9227466429295552,0.8646278171080504,0.5516655274411464,0.8939004632422497
Stationary_ADF,9.321489545104379e-06,1.7439324254527986e-07,1.907622261398776e-10,7.691616560789772e-06,7.103413126627771e-14,8.80950286433108e-22,2.6156254358881488e-18,1.944754043902875e-21,3.771209508748108e-12,2.1864871019151564e-20,1.122129739200203e-14,9.645539645102207e-15,6.352907303659866e-17,2.1437796384293587e-14,6.852799724315725e-16,9.393991511787167e-20,3.927205537079374e-19,3.752925224798804e-16,8.529633840836512e-14
Stationarity_KPSS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.04166666666666262
Co-integration,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14,8.529633840836512e-14
Granger_Causality_pvals,0.0,0.8034,0.9252,0.9787,0.8563,0.4631,0.4003,0.8834,0.541,0.8763,0.8065,0.6474,0.7663,0.0898,0.1671,0.3528,0.6633,0.8946,0.8021
Granger_Causality_Lags,0.0,3.0,2.0,2.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,18.0,1.0,11.0,1.0,9.0,1.0,2.0,1.0
TLCC_Lags,0.0,19.0,8.0,19.0,20.0,8.0,23.0,17.0,0.0,5.0,0.0,19.0,3.0,1.0,11.0,0.0,15.0,10.0,15.0
