,feature,model,dropdown
117,BEST_Category_t-8,lagged_elnino,Lagged El Nino Categories
118,BEST_Category_t-9,lagged_elnino,Lagged El Nino Categories
119,EA,lagged_elnino,Lagged El Nino Categories
120,EPNP,lagged_elnino,Lagged El Nino Categories
121,NAO,lagged_elnino,Lagged El Nino Categories
122,NINA,lagged_elnino,Lagged El Nino Categories
123,NINA_Category,lagged_elnino,Lagged El Nino Categories
124,NINA_Category_t-1,lagged_elnino,Lagged El Nino Categories
125,NINA_Category_t-10,lagged_elnino,Lagged El Nino Categories
126,NINA_Category_t-11,lagged_elnino,Lagged El Nino Categories
127,NINA_Category_t-12,lagged_elnino,Lagged El Nino Categories
128,NINA_Category_t-2,lagged_elnino,Lagged El Nino Categories
129,NINA_Category_t-3,lagged_elnino,Lagged El Nino Categories
130,NINA_Category_t-4,lagged_elnino,Lagged El Nino Categories
131,NINA_Category_t-5,lagged_elnino,Lagged El Nino Categories
132,NINA_Category_t-6,lagged_elnino,Lagged El Nino Categories
133,NINA_Category_t-7,lagged_elnino,Lagged El Nino Categories
134,NINA_Category_t-8,lagged_elnino,Lagged El Nino Categories
135,NINA_Category_t-9,lagged_elnino,Lagged El Nino Categories
136,ONI,lagged_elnino,Lagged El Nino Categories
137,ONI_Category,lagged_elnino,Lagged El Nino Categories
138,ONI_Category_t-1,lagged_elnino,Lagged El Nino Categories
139,ONI_Category_t-10,lagged_elnino,Lagged El Nino Categories
140,ONI_Category_t-11,lagged_elnino,Lagged El Nino Categories
141,ONI_Category_t-12,lagged_elnino,Lagged El Nino Categories
142,ONI_Category_t-2,lagged_elnino,Lagged El Nino Categories
143,ONI_Category_t-3,lagged_elnino,Lagged El Nino Categories
144,ONI_Category_t-4,lagged_elnino,Lagged El Nino Categories
145,ONI_Category_t-5,lagged_elnino,Lagged El Nino Categories
146,ONI_Category_t-6,lagged_elnino,Lagged El Nino Categories
147,ONI_Category_t-7,lagged_elnino,Lagged El Nino Categories
148,ONI_Category_t-8,lagged_elnino,Lagged El Nino Categories
149,ONI_Category_t-9,lagged_elnino,Lagged El Nino Categories
150,PNA,lagged_elnino,Lagged El Nino Categories
151,WP,lagged_elnino,Lagged El Nino Categories
152,BEST,overfitted,Overfitted (All of the Above)
153,BEST_Category,overfitted,Overfitted (All of the Above)
154,BEST_Category_t-1,overfitted,Overfitted (All of the Above)
155,BEST_Category_t-10,overfitted,Overfitted (All of the Above)
156,BEST_Category_t-11,overfitted,Overfitted (All of the Above)
157,BEST_Category_t-12,overfitted,Overfitted (All of the Above)
158,BEST_Category_t-2,overfitted,Overfitted (All of the Above)
159,BEST_Category_t-3,overfitted,Overfitted (All of the Above)
160,BEST_Category_t-4,overfitted,Overfitted (All of the Above)
161,BEST_Category_t-5,overfitted,Overfitted (All of the Above)
162,BEST_Category_t-6,overfitted,Overfitted (All of the Above)
163,BEST_Category_t-7,overfitted,Overfitted (All of the Above)
164,BEST_Category_t-8,overfitted,Overfitted (All of the Above)
165,BEST_Category_t-9,overfitted,Overfitted (All of the Above)
166,EA_first_difference,overfitted,Overfitted (All of the Above)
167,EA_seasonal_difference,overfitted,Overfitted (All of the Above)
168,EA_seasonal_first_difference,overfitted,Overfitted (All of the Above)
169,EA_t-1,overfitted,Overfitted (All of the Above)
170,EA_t-10,overfitted,Overfitted (All of the Above)
171,EA_t-11,overfitted,Overfitted (All of the Above)
172,EA_t-12,overfitted,Overfitted (All of the Above)
173,EA_t-2,overfitted,Overfitted (All of the Above)
174,EA_t-3,overfitted,Overfitted (All of the Above)
