,AverageTemperature,BEST_Category,BEST,BEST_Category_t-1,BEST_Category_t-2,BEST_Category_t-3,BEST_Category_t-4,BEST_Category_t-5,BEST_Category_t-6,BEST_Category_t-7,BEST_Category_t-8,BEST_Category_t-9,BEST_Category_t-10,BEST_Category_t-11,BEST_Category_t-12,NINA_Category,NINA,NINA_Category_t-1,NINA_Category_t-2,NINA_Category_t-3,NINA_Category_t-4,NINA_Category_t-5,NINA_Category_t-6,NINA_Category_t-7,NINA_Category_t-8,NINA_Category_t-9,NINA_Category_t-10,NINA_Category_t-11,NINA_Category_t-12,ONI_Category,ONI,ONI_Category_t-1,ONI_Category_t-2,ONI_Category_t-3,ONI_Category_t-4,ONI_Category_t-5,ONI_Category_t-6,ONI_Category_t-7,ONI_Category_t-8,ONI_Category_t-9,ONI_Category_t-10,ONI_Category_t-11,ONI_Category_t-12,EA_first_difference,EA_seasonal_difference,EA_seasonal_first_difference,EA_t-1,EA_t-2,EA_t-3,EA_t-4,EA_t-5,EA_t-6,EA_t-7,EA_t-8,EA_t-9,EA_t-10,EA_t-11,EA_t-12,EPNP_first_difference,EPNP_seasonal_difference,EPNP_seasonal_first_difference,EPNP_t-1,EPNP_t-2,EPNP_t-3,EPNP_t-4,EPNP_t-5,EPNP_t-6,EPNP_t-7,EPNP_t-8,EPNP_t-9,EPNP_t-10,EPNP_t-11,EPNP_t-12,NAO_first_difference,NAO_seasonal_difference,NAO_seasonal_first_difference,NAO_t-1,NAO_t-2,NAO_t-3,NAO_t-4,NAO_t-5,NAO_t-6,NAO_t-7,NAO_t-8,NAO_t-9,NAO_t-10,NAO_t-11,NAO_t-12,PNA_first_difference,PNA_seasonal_difference,PNA_seasonal_first_difference,PNA_t-1,PNA_t-2,PNA_t-3,PNA_t-4,PNA_t-5,PNA_t-6,PNA_t-7,PNA_t-8,PNA_t-9,PNA_t-10,PNA_t-11,PNA_t-12,WP_first_difference,WP_seasonal_difference,WP_seasonal_first_difference,WP_t-1,WP_t-2,WP_t-3,WP_t-4,WP_t-5,WP_t-6,WP_t-7,WP_t-8,WP_t-9,WP_t-10,WP_t-11,WP_t-12
Correlation,1.0,0.027531233669792553,-0.10101886997778575,-0.004622612568984247,-0.03893112001211929,-0.07043386809404845,-0.0858796625435681,-0.07194337554698528,-0.04184146375629377,-0.007424656676798647,0.025545616494744246,0.053860491404159244,0.05962823653168052,0.04894316777793572,0.013797985271051255,0.021078921091242778,-0.09254504410751685,0.05338104880911441,0.0736463735795662,0.07850369848366288,0.06616112418221301,0.030055717734292612,-0.01158858984654318,-0.04198292942301449,-0.06898001794336346,-0.0801718331135261,-0.0724347965343952,-0.03655929179301536,-0.0026568147525528954,-0.006211193329431672,-0.2321543623507418,-0.02533653176399921,-0.023512971899784983,-0.019130010490581766,-0.01566487311331276,-0.009744512493530035,-0.0023555455084732797,0.00506902671920168,0.0007223824480466182,-0.007914093940564037,-0.0193857371779001,-0.03213982533323592,-0.038358535178344366,-0.034228889015381,-0.0744952211459749,-0.0460224868851841,0.021784750769493176,0.04380541824772523,0.02645471430890915,-0.019051013978464013,-0.0033653580867927684,-0.014018496930224634,-0.03935586078062037,-0.046863085808571514,-0.01715225852599697,-0.01781499026049869,0.020075043444611126,0.0304749248689253,0.03792077392934515,-0.02412152967790599,-0.013760504412168398,0.024636251963842216,0.015426957733204547,-0.008103715978841691,-0.021762653198477186,-0.04882703037773383,-0.0499886209000354,-0.021614952868853204,-0.01646420160324731,-0.005841472623831573,0.044937218292140896,0.022919103295265322,0.056651087452913265,0.047126514281695314,0.0307206950827192,0.016417845955324546,0.04252586710162001,0.04058011830581641,0.02358472231743912,-0.004888917029824548,-0.021638371384246183,-0.01818363500690408,-0.036889958178323905,-0.025656946994876813,-0.01276429992199432,-0.011968963156265269,0.013500166562602,0.023262389812856978,0.015299356454224481,0.0021479882581709616,0.008276296093117403,0.0020589377145012813,0.019047639217611854,0.01477027497292648,-0.007669888352529295,-0.013909487720624693,-0.004694036336208296,-0.010541296002584986,-0.010023347834044771,0.005089004113630531,-0.021572428903365456,0.014636273805420541,0.003367508815770327,-0.00409406769164939,-0.020667566219371672,0.00026884050055545305,0.02008880324850529,0.05066003922870687,0.04899598877760536,0.006864722722734076,0.031247448759968717,-0.013005387244139414,-0.023510894459060242,-0.035196797516885085,-0.05454709319827259,-0.026808364630758197,-0.0225280940809496,-0.004479261354981494
Normality,1.2675306397467177e-77,1.9915496227556748e-13,2.4444488765997593e-14,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556307e-13,1.9915496227556748e-13,2.725503572214594e-25,2.954185104351587e-29,2.725503572214594e-25,2.7255035722146533e-25,2.7255035722146533e-25,2.725503572214614e-25,2.725503572214614e-25,2.7255035722146533e-25,2.7255035722146533e-25,2.725503572214614e-25,2.725503572214614e-25,2.7255035722146533e-25,2.7255035722146533e-25,2.725503572214614e-25,2.582241786765836e-13,1.3053407638505723e-14,3.7994862885980894e-13,3.7994862885980894e-13,3.7994862885980894e-13,3.7994862885980894e-13,3.7994862885980894e-13,3.7994862885980894e-13,3.7994862885982015e-13,5.573342797625097e-13,8.150203727834146e-13,1.1881791999586414e-12,1.726852071992328e-12,1.726852071992328e-12,0.5791484584884345,0.7045018820882412,0.45784020065760744,0.5891042897707022,0.7674534004975223,0.794748142270751,0.7982181926120793,0.8274030941245885,0.7186411680083187,0.688985462766841,0.7059585174497698,0.7134267066734737,0.8614225469540812,0.8448677754789684,0.8238416655909274,0.011846570626025031,0.3358437289091708,0.4814008802112776,0.010424502671262069,0.011810870475022732,0.011706836552290984,0.01150442890258451,0.012338996910312705,0.01277416631495183,0.015591344320312228,0.016764299702127495,0.017274596303659955,0.018518093251629588,0.018327838679699428,0.01924235823805299,0.9112292123511758,0.6825005810592919,0.29771276033899935,0.9070296488154318,0.9015411100875174,0.9168028680514478,0.9580755366461441,0.9569971024947059,0.9455722589451071,0.9351488085428797,0.9458809556759096,0.9153586648670199,0.9022842450879823,0.8924772289140143,0.8770480749527271,0.6701406567531341,0.4262548474474862,0.9227466429295552,0.6575114990156303,0.6559455379884984,0.6388430762577266,0.6231324479491512,0.6297755173294102,0.6025626473991541,0.5961812923282569,0.6099589243170511,0.6150090783951916,0.5703592655445683,0.5853155851947953,0.5554793188733826,0.8646278171080504,0.5516655274411464,0.8939004632422497,0.8595890050241665,0.8595604683498803,0.8707646228086106,0.8590311572873564,0.878891188056514,0.8549285222924556,0.8850947668278001,0.8942634718385714,0.9031956080093781,0.9100708026206298,0.9047165850763683,0.8964221838414157
Stationary_ADF,4.00745355772844e-06,4.082824902093593e-06,1.2830678085706564e-10,4.106654237897605e-06,5.964666396842442e-10,5.964666396842399e-10,5.964666396842399e-10,5.964666396842399e-10,5.964666396842399e-10,4.7267698054662525e-06,4.801222928996547e-06,5.964666396842399e-10,4.9012606015757026e-06,4.9749942383375726e-06,4.8712725752033756e-06,7.908266611158737e-09,3.351850488927511e-09,7.9082666111585e-09,7.90826661115856e-09,7.9082666111585e-09,7.9082666111585e-09,7.908266611158646e-09,7.908266611158646e-09,7.908266611158737e-09,7.908266611158737e-09,7.90826661115856e-09,7.90826661115856e-09,7.9082666111585e-09,7.9082666111585e-09,2.292149459467129e-10,2.9926331472501e-06,2.403088324394489e-10,2.0177213968607647e-10,2.0052599697363728e-10,2.793448229199318e-10,2.7934482291992973e-10,2.793448229199318e-10,2.7934482291992973e-10,3.0546613795827046e-10,3.1982393588595773e-10,3.5480560578540094e-09,7.283531066671016e-09,7.182461901840355e-09,7.103413126627771e-14,8.80950286433108e-22,2.6156254358881488e-18,1.0998177362417957e-13,1.206967699025074e-13,9.740989669289267e-14,6.820374269929116e-14,7.107197724332069e-14,9.650754719151757e-14,7.865024345436717e-14,1.2363262815571345e-13,7.508031841808655e-14,7.286355967047622e-14,6.478577183466807e-14,6.801157616668039e-14,1.944754043902875e-21,3.771209508748108e-12,2.1864871019151564e-20,3.2827765171297574e-21,2.785239263771006e-21,1.3957336851572814e-21,2.3588372850570787e-21,1.471712701165689e-21,4.6743221414509285e-22,1.2224751025915008e-21,1.2265761314421881e-21,1.1763000340089978e-21,9.948147867184821e-22,7.572539993211893e-22,6.070953536832207e-22,1.122129739200203e-14,9.645539645102207e-15,6.352907303659866e-17,9.280133924482895e-15,9.711585461324432e-15,2.8993461811888364e-21,2.5607616328918475e-21,3.6118652739778676e-21,2.8813454548655528e-21,1.6582138666070448e-21,8.52579049506499e-22,2.4608130322832873e-21,3.1340191254603813e-21,1.2602812224589981e-21,7.879201564379963e-22,2.1437796384293587e-14,6.852799724315725e-16,9.393991511787167e-20,2.5552123472111165e-14,4.178984817425725e-14,3.743323323865802e-14,2.87419516119707e-14,1.440777596083131e-14,9.06358809205081e-15,7.190883709206247e-15,3.014509052768853e-14,3.1988781197461884e-14,3.741192260032085e-14,3.1618115813969073e-14,2.9785818772584004e-14,3.927205537079374e-19,3.752925224798804e-16,8.529633840836512e-14,2.395689339937614e-19,2.759226670634622e-19,2.7416133224591407e-19,5.233870910485967e-19,2.2534850443268577e-19,2.4035767072257366e-19,2.541686683441584e-19,2.709113902322339e-19,3.4666939495786537e-19,1.4281186253701055e-19,8.969914588704902e-20,7.936020227641538e-20
Stationarity_KPSS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08231138244596799,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.04166666666666262,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.06406075315611282,0.1
Co-integration,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20,7.936020227641538e-20
Granger_Causality_pvals,0.0,0.8744,0.2324,0.8885,0.8786,0.8785,0.9839,0.9499,0.9345,0.906,0.8732,0.9837,0.9942,0.95,0.9493,0.9153,0.9148,0.8961,0.6566,0.9232,0.8757,0.8566,0.6847,0.7366,0.6672,0.813,0.895,0.9536,0.8528,0.7127,0.9819,0.976,0.9785,0.9829,0.9836,0.9867,0.9099,0.9807,0.9208,0.9119,0.8865,0.8468,0.7082,0.0868,0.467,0.4876,0.4788,0.8896,0.4245,0.8651,0.7654,0.7354,0.832,0.6549,0.9221,0.8075,0.9453,0.943,0.9859,0.679,0.9593,0.978,0.8823,0.5174,0.3506,0.5014,0.4306,0.8941,0.7279,0.1498,0.5126,0.4658,0.7398,0.8639,0.904,0.913,0.9993,0.9905,0.9215,0.9385,0.9618,0.9878,0.9816,0.9903,0.9932,0.9928,0.9755,0.9821,0.8769,0.9942,0.9917,0.8306,0.9417,0.8529,0.9242,0.9385,0.9233,0.9313,0.6758,0.6438,0.8333,0.7959,0.8959,0.5875,0.9308,0.9493,0.6549,0.7336,0.468,0.5164,0.613,0.9513,0.8406,0.7492,0.7663,0.9329,0.7099,0.6816
Granger_Causality_Lags,0.0,9.0,22.0,10.0,9.0,8.0,2.0,2.0,5.0,23.0,23.0,2.0,1.0,24.0,24.0,4.0,15.0,3.0,2.0,1.0,2.0,2.0,4.0,3.0,2.0,1.0,5.0,4.0,3.0,15.0,14.0,8.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,3.0,2.0,2.0,3.0,13.0,12.0,16.0,2.0,1.0,6.0,1.0,5.0,6.0,5.0,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,4.0,4.0,13.0,23.0,23.0,1.0,3.0,3.0,11.0,8.0,8.0,8.0,8.0,7.0,6.0,11.0,23.0,7.0,8.0,7.0,7.0,6.0,2.0,2.0,1.0,2.0,1.0,22.0,23.0,19.0,19.0,17.0,24.0,2.0,2.0,2.0,1.0,24.0,20.0,4.0,4.0,4.0,4.0,24.0,1.0,20.0,19.0
TLCC_Lags,0.0,16.0,19.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,9.0,2.0,8.0,7.0,23.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,13.0,19.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,14.0,0.0,0.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,23.0,20.0,11.0,22.0,21.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,0.0,6.0,0.0,0.0,17.0,16.0,14.0,13.0,12.0,11.0,23.0,22.0,21.0,20.0,19.0,11.0,10.0,11.0,10.0,9.0,12.0,7.0,6.0,5.0,4.0,7.0,6.0,5.0,4.0,3.0,14.0,1.0,3.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0
