ds,AverageTemperature,BEST,NINA,ONI,EA,EPNP,NAO,PNA,WP
1971-06-01,15.140999999999998,-1.0,-1.58,-0.85,0.38,-0.27,-1.41,0.51,-2.17
1971-07-01,19.705,-0.67,-1.57,-0.73,-0.32,-0.72,-1.56,-1.74,0.01
1971-08-01,18.273,-0.42,-1.3,-0.74,0.66,-0.05,1.11,-0.81,-0.29
1971-09-01,15.425999999999998,-1.1,-1.04,-0.8,0.72,0.0,1.87,0.15,0.87
1971-10-01,11.531,-1.13,-1.12,-0.77,0.95,0.05,0.13,-1.35,-0.15
1971-11-01,5.595,-1.26,-1.24,-0.82,0.02,-1.99,0.0,-0.26,-0.13
1971-12-01,4.561,-0.69,-1.12,-0.85,1.67,-0.22,0.06,-1.76,1.0
1972-01-01,2.697,-0.47,-1.33,-0.96,-0.3,-1.95,-0.49,-2.46,1.01
1972-02-01,5.3439999999999985,-0.41,-1.04,-0.9,1.94,-1.14,-0.76,-2.27,-1.5
1972-03-01,8.509,-0.47,-1.33,-0.71,-1.35,-0.28,-1.2,-0.1,1.4
1972-04-01,9.21,-0.2,-1.31,-0.35,1.63,2.19,-1.82,-1.95,0.5
1972-05-01,12.325,0.44,-1.48,0.06,0.56,1.78,-0.17,0.21,0.57
1972-06-01,14.303,1.56,-0.73,0.41,-1.07,-0.39,-1.28,-0.15,-2.51
1972-07-01,18.246,1.23,-0.52,0.67,2.15,-0.49,-0.41,-1.13,-1.65
1972-08-01,16.994,1.7,-0.29,0.92,-0.57,-0.34,0.51,-0.04,-0.15
1972-09-01,13.145,1.47,0.0,1.13,0.03,-0.4,-1.28,0.13,-0.08
1972-10-01,10.408,1.6,0.21,1.37,0.91,-0.46,0.27,-1.49,0.76
1972-11-01,6.872000000000001,1.59,0.61,1.58,-0.16,0.15,1.87,0.53,1.64
1972-12-01,4.247,1.18,1.2,1.84,-1.63,-1.36,0.53,-0.86,0.77
1973-01-01,2.8080000000000003,1.84,1.63,2.09,1.22,-1.52,1.14,-0.88,-0.87
1973-02-01,3.297,1.06,1.43,2.12,0.47,0.31,-0.34,-0.14,-0.48
1973-03-01,6.396999999999999,1.39,1.74,1.84,-0.07,-2.96,0.47,0.53,0.86
1973-04-01,7.846000000000001,0.46,1.99,1.25,-0.21,2.2,-0.19,0.11,0.31
1973-05-01,13.598,0.17,2.25,0.54,1.06,1.76,-0.08,0.67,0.45
1973-06-01,17.685,-0.45,1.78,-0.1,-0.89,0.93,0.35,1.01,-0.05
1973-07-01,18.131,-1.07,0.79,-0.54,-0.35,1.48,-0.38,-0.26,-2.26
1973-08-01,20.271,-1.05,0.09,-0.87,-0.32,-0.32,0.93,-0.95,-1.87
1973-09-01,16.67,-1.4,-0.83,-1.11,-0.71,-0.56,1.19,-0.27,-0.01
1973-10-01,10.238,-1.46,-1.32,-1.28,0.0,-0.8,0.21,-0.74,1.23
1973-11-01,6.0920000000000005,-1.33,-1.41,-1.45,1.35,0.95,1.57,-1.66,2.06
1973-12-01,3.791,-2.46,-1.66,-1.71,1.67,-1.94,0.03,0.23,-0.32
1974-01-01,6.65,-1.89,-1.62,-1.95,2.91,0.6,1.7,-1.54,1.09
1974-02-01,5.377000000000002,-1.96,-1.52,-2.03,1.34,-1.49,0.43,-1.5,-1.61
1974-03-01,7.3370000000000015,-1.66,-1.69,-1.84,-0.34,-1.3,0.09,-1.1,0.51
1974-04-01,10.021,-1.82,-1.82,-1.55,-0.34,-1.27,-0.46,-0.73,0.19
1974-05-01,12.653,-1.23,-1.85,-1.23,0.47,-0.1,0.52,-0.4,0.71
1974-06-01,16.175,-1.18,-1.8,-1.03,-1.65,0.68,-0.09,-1.36,0.47
1974-07-01,17.308,-0.58,-1.34,-0.91,-0.86,-0.62,-0.73,-0.09,1.12
1974-08-01,18.691000000000006,-0.93,-0.96,-0.77,1.3,-0.27,-0.36,0.9,0.56
1974-09-01,14.155,-0.47,-0.81,-0.53,0.72,-0.46,0.7,0.35,1.33
1974-10-01,7.629,-0.7,-0.89,-0.37,1.81,-0.65,0.6,0.93,0.71
1974-11-01,7.544,-0.78,-0.84,-0.41,0.33,-1.12,-0.2,0.53,-1.34
1974-12-01,7.377999999999999,-0.26,-0.59,-0.61,0.94,0.32,-0.15,0.38,0.42
1975-01-01,6.771000000000001,-0.43,-0.4,-0.75,-0.55,-0.41,-0.84,-1.2,0.06
1975-02-01,5.45,0.11,-0.63,-0.64,-1.46,0.03,-1.11,-0.51,0.06
1975-03-01,5.335999999999999,-0.43,-1.03,-0.54,-0.27,-2.29,0.21,-0.81,0.9
1975-04-01,9.090000000000002,-0.84,-1.11,-0.57,0.48,-1.52,1.05,-0.67,0.29
1975-05-01,12.146,-0.95,-1.04,-0.65,-0.22,2.42,-0.6,0.6,0.43
1975-06-01,16.055999999999994,-0.96,-0.54,-0.73,1.35,2.56,-0.43,-0.31,-3.37
1975-07-01,19.174,-1.58,-0.85,-0.83,0.85,0.18,0.41,-1.53,-0.78
1975-08-01,20.655,-1.83,-0.87,-0.98,-1.69,-1.75,-0.17,-1.1,-1.26
1975-09-01,15.985,-1.76,-0.57,-1.13,-0.51,-1.635,0.17,-0.23,-0.19
1975-10-01,9.394,-1.9,-1.09,-1.2,0.97,-1.52,-0.73,-0.65,0.36
1975-11-01,6.346,-1.66,-1.4,-1.37,0.45,-0.5,-0.95,-0.63,-0.13
1975-12-01,2.358,-1.36,-1.19,-1.43,2.24,-0.14,0.95,-0.16,0.81
1976-01-01,4.66,-1.74,-1.08,-1.55,-0.71,-1.57,1.04,-0.25,0.24
1976-02-01,4.405,-1.42,-1.41,-1.65,1.63,-1.21,-0.7,-2.38,-0.4
1976-03-01,5.522,-1.24,-1.61,-1.56,0.32,-2.09,1.3,-1.78,-0.22
1976-04-01,9.224,-0.97,-1.44,-1.17,0.92,0.6,0.17,0.92,0.42
1976-05-01,14.863,-0.35,-1.81,-0.73,0.61,0.99,-1.15,0.58,-0.89
1976-06-01,20.585,-0.57,-1.9,-0.47,0.86,0.81,-1.04,-1.32,-0.46
1976-07-01,21.436999999999998,0.14,-1.1,-0.28,-1.58,-0.56,-1.89,-0.12,-0.77
1976-08-01,19.987000000000002,0.86,-0.67,-0.05,-0.68,-1.14,-0.43,-0.62,-0.46
1976-09-01,15.050999999999998,0.89,-0.66,0.18,-0.31,-0.72,-0.54,-0.04,0.37
1976-10-01,12.166,1.08,-0.34,0.35,2.24,-0.3,1.57,0.91,-0.45
1976-11-01,6.766,0.45,0.33,0.62,1.97,0.07,-0.46,1.72,-0.61
1976-12-01,2.1950000000000003,0.11,0.43,0.81,-1.0,-0.83,1.67,0.21,1.59
1977-01-01,3.5810000000000004,0.6,0.76,0.86,1.69,-1.52,-0.08,1.6,0.32
1977-02-01,6.564,0.65,0.82,0.85,0.96,-0.9,0.3,2.43,0.22
1977-03-01,8.447000000000001,-0.01,0.91,0.71,-0.48,-0.03,-0.09,-0.69,0.0
1977-04-01,8.075000000000001,0.78,0.78,0.64,-1.78,-1.21,-0.8,-0.32,1.04
1977-05-01,12.588,0.33,0.66,0.34,-0.49,0.23,0.61,-0.56,-1.01
1977-06-01,15.09,0.72,0.88,0.23,-1.73,1.82,0.38,0.57,-0.71
1977-07-01,17.913999999999994,1.2,0.56,0.21,0.45,1.53,0.14,-1.04,-0.39
1977-08-01,16.819000000000006,1.23,0.22,0.34,-1.01,2.19,0.94,2.2,-0.06
1977-09-01,14.154000000000002,0.85,-0.64,0.35,-1.21,1.47,1.11,-0.72,0.92
1977-10-01,12.574000000000002,0.86,-0.38,0.42,0.3,0.75,-0.29,1.25,1.19
1977-11-01,6.95,1.2,-0.19,0.57,-0.01,-1.4,2.34,-0.22,1.28
1977-12-01,5.529,1.33,-0.23,0.73,-1.13,-1.44,-1.11,-0.8,2.35
1978-01-01,3.0660000000000003,1.18,-0.38,0.81,0.88,0.25,0.42,0.13,1.22
1978-02-01,3.024,0.63,-0.03,0.79,1.01,-1.84,0.04,1.4,0.1
1978-03-01,7.5619999999999985,1.64,0.27,0.69,-0.87,-0.24,-1.57,-0.18,-0.66
1978-04-01,7.9460000000000015,0.4,0.19,0.42,0.33,0.03,-1.72,-0.19,0.23
1978-05-01,13.04,0.11,0.25,0.06,-0.63,1.69,-1.0,-0.73,-1.11
1978-06-01,15.254,-1.0,0.14,-0.18,-0.98,-0.47,-1.25,-0.92,-1.08
1978-07-01,16.916999999999998,-0.43,0.0,-0.31,-0.24,-0.29,0.56,-2.43,0.08
1978-08-01,16.448,-0.45,-0.46,-0.29,1.22,0.05,-0.75,0.02,1.83
1978-09-01,14.925999999999998,-0.48,-0.94,-0.36,0.1,1.405,-0.27,1.38,0.97
