,AverageTemperature,BEST_Category,BEST,BEST_Category_t-1,BEST_Category_t-2,BEST_Category_t-3,BEST_Category_t-4,BEST_Category_t-5,BEST_Category_t-6,BEST_Category_t-7,BEST_Category_t-8,BEST_Category_t-9,BEST_Category_t-10,BEST_Category_t-11,BEST_Category_t-12,NINA_Category,NINA,NINA_Category_t-1,NINA_Category_t-2,NINA_Category_t-3,NINA_Category_t-4,NINA_Category_t-5,NINA_Category_t-6,NINA_Category_t-7,NINA_Category_t-8,NINA_Category_t-9,NINA_Category_t-10,NINA_Category_t-11,NINA_Category_t-12,ONI_Category,ONI,ONI_Category_t-1,ONI_Category_t-2,ONI_Category_t-3,ONI_Category_t-4,ONI_Category_t-5,ONI_Category_t-6,ONI_Category_t-7,ONI_Category_t-8,ONI_Category_t-9,ONI_Category_t-10,ONI_Category_t-11,ONI_Category_t-12,EA,EPNP,NAO,PNA,WP
Correlation,1.0,0.02764287814002743,-0.11672404240512566,-0.013462979792467916,-0.0542464019115536,-0.08485085335715918,-0.09204834806011811,-0.08000814668929251,-0.043664142939730255,0.002855909104338574,0.047549798998743946,0.07534779250346367,0.08763769492213626,0.07502568139882888,0.04165048997756916,0.012515899288196722,-0.11908897334951751,0.0462009623118844,0.07118713543385054,0.0806697123928096,0.07499153350529368,0.047357000913750766,0.00897928828652097,-0.030999681717072933,-0.055145331342503955,-0.05952647353835769,-0.043972598986741204,-0.014591803231395691,0.018935866575775694,-0.012107010621169974,-0.2369500879912029,-0.022674630007046018,-0.03357227396759827,-0.02958218265496007,-0.02001495331174518,-0.007145314482352896,0.0069513946005119375,0.016930464680020674,0.020800956871557027,0.017137191710673766,0.007463957267391186,-0.003955138522851466,-0.01070391170162855,0.014229332644681868,0.013159482650919358,0.007804360208901677,0.034537879909468806,0.09791272603404355
Normality,0.0,1.9915496227556748e-13,2.4444488765997593e-14,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556748e-13,1.9915496227556307e-13,1.9915496227556748e-13,2.725503572214594e-25,2.954185104351587e-29,2.725503572214594e-25,2.7255035722146533e-25,2.7255035722146533e-25,2.725503572214614e-25,2.725503572214614e-25,2.7255035722146533e-25,2.7255035722146533e-25,2.725503572214614e-25,2.725503572214614e-25,2.7255035722146533e-25,2.7255035722146533e-25,2.725503572214614e-25,2.582241786765836e-13,1.3053407638505723e-14,3.7994862885980894e-13,3.7994862885980894e-13,3.7994862885980894e-13,3.7994862885980894e-13,3.7994862885980894e-13,3.7994862885980894e-13,3.7994862885982015e-13,5.573342797625097e-13,8.150203727834146e-13,1.1881791999586414e-12,1.726852071992328e-12,1.726852071992328e-12,0.9570925455725724,0.06099000774803614,0.6350020976585113,0.39223285963361304,0.4525595593112395
Stationary_ADF,0.013997763320273767,4.082824902093593e-06,1.2830678085706564e-10,4.106654237897605e-06,5.964666396842442e-10,5.964666396842399e-10,5.964666396842399e-10,5.964666396842399e-10,5.964666396842399e-10,4.7267698054662525e-06,4.801222928996547e-06,5.964666396842399e-10,4.9012606015757026e-06,4.9749942383375726e-06,4.8712725752033756e-06,7.908266611158737e-09,3.351850488927511e-09,7.9082666111585e-09,7.90826661115856e-09,7.9082666111585e-09,7.9082666111585e-09,7.908266611158646e-09,7.908266611158646e-09,7.908266611158737e-09,7.908266611158737e-09,7.90826661115856e-09,7.90826661115856e-09,7.9082666111585e-09,7.9082666111585e-09,2.292149459467129e-10,2.9926331472501e-06,2.403088324394489e-10,2.0177213968607647e-10,2.0052599697363728e-10,2.793448229199318e-10,2.7934482291992973e-10,2.793448229199318e-10,2.7934482291992973e-10,3.0546613795827046e-10,3.1982393588595773e-10,3.5480560578540094e-09,7.283531066671016e-09,7.182461901840355e-09,0.0,0.0018293063113995445,2.094232087905039e-30,5.737588004690552e-25,0.0
Stationarity_KPSS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.020593965791249995,0.1,0.03414383238956161,0.1,0.1
Co-integration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granger_Causality_pvals,0.0,0.9266,0.9573,0.9193,0.9068,0.9161,0.9253,0.983,0.9826,0.9576,0.946,0.9997,0.9857,0.9997,0.9174,0.9238,0.4198,0.8981,0.8863,0.9388,0.9862,0.9379,0.9285,0.9994,0.9578,0.977,0.9692,0.9771,0.9727,0.8957,0.2382,0.9723,0.997,0.999,0.9977,0.9987,0.9974,0.999,0.9954,0.9944,0.9987,0.996,0.9724,0.8496,0.5041,0.7198,0.9005,0.9477
Granger_Causality_Lags,0.0,24.0,10.0,24.0,23.0,10.0,1.0,9.0,3.0,7.0,21.0,5.0,4.0,3.0,2.0,23.0,4.0,23.0,24.0,9.0,2.0,9.0,9.0,2.0,3.0,10.0,10.0,10.0,10.0,20.0,23.0,19.0,9.0,4.0,8.0,6.0,6.0,4.0,5.0,4.0,2.0,2.0,8.0,23.0,24.0,1.0,1.0,2.0
TLCC_Lags,0.0,16.0,19.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,15.0,2.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,2.0,23.0,23.0,23.0,22.0,21.0,20.0,19.0,18.0,17.0,15.0,13.0,12.0,17.0,16.0,5.0,11.0,19.0
