horizon,mse,rmse,mae,mape,mdape,coverage,Model
365 days,0.2915640429503264,0.539966705409071,0.4811145068584285,0.01788313657525676,0.01668893509872508,0.5157894736842104,indices
365 days,0.27226628491936067,0.521791418978274,0.4796191656324803,0.01776228757070002,0.020195496507149354,0.39999999999999997,tele_diff
365 days,0.2268286841071884,0.47626535052131225,0.42024478717789915,0.015515457284642247,0.0180885069119759,0.33684210526315783,lagged_tele
365 days,0.2647687409713656,0.5145568393981034,0.46743704003351844,0.01735494276220226,0.016684040190293382,0.5052631578947369,elnino_cat
365 days,0.32702279996821804,0.5718590735209315,0.5255987037384069,0.019477912052552504,0.020895222626693476,0.3578947368421052,lagged_elnino
365 days,0.32793078561487105,0.5726524125635647,0.5222959519902705,0.01934787323814187,0.02120495606931999,0.31578947368421045,ideal_lag
365 days,0.3968527907459653,0.629962531223854,0.5600958489582302,0.02068132300286767,0.02339113593022278,0.37894736842105253,overfitted
