ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,BEST,BEST_lower,BEST_upper,EA,EA_lower,EA_upper,EPNP,EPNP_lower,EPNP_upper,NAO,NAO_lower,NAO_upper,NINA,NINA_lower,NINA_upper,ONI,ONI_lower,ONI_upper,PNA,PNA_lower,PNA_upper,WP,WP_lower,WP_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1971-06-01,26.886387306922334,26.358544866602607,27.265183502351725,26.886387306922334,26.886387306922334,0.05488825196225553,0.05488825196225553,0.05488825196225553,-0.010559769936471789,-0.010559769936471789,-0.010559769936471789,-0.00851883273562708,-0.00851883273562708,-0.00851883273562708,-0.044308871620996594,-0.044308871620996594,-0.044308871620996594,-0.12090505426069166,-0.12090505426069166,-0.12090505426069166,-0.11837331360250526,-0.11837331360250526,-0.11837331360250526,0.006615844897513731,0.006615844897513731,0.006615844897513731,-0.009656523926894374,-0.009656523926894374,-0.009656523926894374,-0.07864587948169453,-0.07864587948169453,-0.07864587948169453,-0.25081826922341743,-0.25081826922341743,-0.25081826922341743,0.17217238974172291,0.17217238974172291,0.17217238974172291,0.0,0.0,0.0,26.80774142744064
1971-07-01,26.882361668838165,25.499171907137406,26.377471207958067,26.882361668838165,26.882361668838165,0.03754586326078646,0.03754586326078646,0.03754586326078646,0.010593480295407055,0.010593480295407055,0.010593480295407055,-0.023863735972834296,-0.023863735972834296,-0.023863735972834296,-0.04902824872760797,-0.04902824872760797,-0.04902824872760797,-0.12005258175810918,-0.12005258175810918,-0.12005258175810918,-0.10047963863471293,-0.10047963863471293,-0.10047963863471293,-0.01883577912068027,-0.01883577912068027,-0.01883577912068027,-0.0001758629857678179,-0.0001758629857678179,-0.0001758629857678179,-0.9399513925096921,-0.9399513925096921,-0.9399513925096921,-0.264296503643519,-0.264296503643519,-0.264296503643519,-0.6756548888661731,-0.6756548888661731,-0.6756548888661731,0.0,0.0,0.0,25.942410276328474
1971-08-01,26.87820184281786,25.219153851230764,26.149965380735114,26.87820184281786,26.87820184281786,0.02440769000209776,0.02440769000209776,0.02440769000209776,-0.019021070029223326,-0.019021070029223326,-0.019021070029223326,-0.0010168800418813278,-0.0010168800418813278,-0.0010168800418813278,0.0349766637700745,0.0349766637700745,0.0349766637700745,-0.09703582418838229,-0.09703582418838229,-0.09703582418838229,-0.1019707782153623,-0.1019707782153623,-0.1019707782153623,-0.008315774526493416,-0.008315774526493416,-0.008315774526493416,-0.001480541096932023,-0.001480541096932023,-0.001480541096932023,-1.190893455987401,-1.190893455987401,-1.190893455987401,-0.16945651432610243,-0.16945651432610243,-0.16945651432610243,-1.0214369416612987,-1.0214369416612987,-1.0214369416612987,0.0,0.0,0.0,25.68730838683046
1971-09-01,26.87404201679755,25.557227399329243,26.44106183585967,26.87404201679755,26.87404201679755,0.060143521265731026,0.060143521265731026,0.060143521265731026,-0.020834205763384368,-0.020834205763384368,-0.020834205763384368,0.0006881092066972521,0.0006881092066972521,0.0006881092066972521,0.05888817444357213,0.05888817444357213,0.05888817444357213,-0.07487153912123787,-0.07487153912123787,-0.07487153912123787,-0.11091761569925847,-0.11091761569925847,-0.11091761569925847,0.0025435850546026897,0.0025435850546026897,0.0025435850546026897,0.003564214266236237,0.003564214266236237,0.003564214266236237,-0.8859923695820591,-0.8859923695820591,-0.8859923695820591,-0.08079575634704138,-0.08079575634704138,-0.08079575634704138,-0.8051966132350176,-0.8051966132350176,-0.8051966132350176,0.0,0.0,0.0,25.98804964721549
1971-10-01,26.870016378713384,25.627338959074613,26.57099009528885,26.870016378713387,26.870016378713387,0.061720102056773654,0.061720102056773654,0.061720102056773654,-0.027784559411001702,-0.027784559411001702,-0.027784559411001702,0.0023930984552758324,0.0023930984552758324,0.0023930984552758324,0.004143400006880186,0.004143400006880186,0.004143400006880186,-0.08169131914189769,-0.08169131914189769,-0.08169131914189769,-0.10644419695731039,-0.10644419695731039,-0.10644419695731039,-0.014424164290859978,-0.014424164290859978,-0.014424164290859978,-0.0008716913117220606,-0.0008716913117220606,-0.0008716913117220606,-0.7483875007345518,-0.7483875007345518,-0.7483875007345518,-0.16295933059386217,-0.16295933059386217,-0.16295933059386217,-0.5854281701406897,-0.5854281701406897,-0.5854281701406897,0.0,0.0,0.0,26.121628877978832
1971-11-01,26.865856552693074,26.71189334505496,27.542393438829787,26.865856552693074,26.865856552693074,0.06855195215129178,0.06855195215129178,0.06855195215129178,0.00031904446849447335,0.00031904446849447335,0.00031904446849447335,-0.06717046288673023,-0.06717046288673023,-0.06717046288673023,5.3273181150327916e-05,5.3273181150327916e-05,5.3273181150327916e-05,-0.09192098917288742,-0.09192098917288742,-0.09192098917288742,-0.11389989486055717,-0.11389989486055717,-0.11389989486055717,-0.0020942664331571052,-0.0020942664331571052,-0.0020942664331571052,-0.0007847127709777804,-0.0007847127709777804,-0.0007847127709777804,0.25240645270134165,0.25240645270134165,0.25240645270134165,-0.20694605632337312,-0.20694605632337312,-0.20694605632337312,0.4593525090247149,0.4593525090247149,0.4593525090247149,0.0,0.0,0.0,27.118263005394414
1971-12-01,26.86183091460891,26.16470661752169,27.071314637472085,26.86183091460891,26.86183091460891,0.038596917121481555,0.038596917121481555,0.038596917121481555,-0.04954218822093422,-0.04954218822093422,-0.04954218822093422,-0.006813843487048499,-0.006813843487048499,-0.006813843487048499,0.0019410240237948775,0.0019410240237948775,0.0019410240237948775,-0.08169131914189769,-0.08169131914189769,-0.08169131914189769,-0.11837331360250526,-0.11837331360250526,-0.11837331360250526,-0.01906201577861977,-0.01906201577861977,-0.01906201577861977,0.004129574781074059,0.004129574781074059,0.004129574781074059,-0.2689976277403516,-0.2689976277403516,-0.2689976277403516,-0.230815164304655,-0.230815164304655,-0.230815164304655,-0.03818246343569663,-0.03818246343569663,-0.03818246343569663,0.0,0.0,0.0,26.592833286868558
1972-01-01,26.857671088588603,25.823060850523557,26.711506025349376,26.857671088588603,26.857671088588603,0.027035324653835503,0.027035324653835503,0.027035324653835503,0.009989101717353371,0.009989101717353371,0.009989101717353371,-0.06580647148786736,-0.06580647148786736,-0.06580647148786736,-0.015363358700446828,-0.015363358700446828,-0.015363358700446828,-0.09959324169612971,-0.09959324169612971,-0.09959324169612971,-0.1347758489896482,-0.1347758489896482,-0.1347758489896482,-0.02698029880650235,-0.02698029880650235,-0.02698029880650235,0.0041730640514461995,0.0041730640514461995,0.0041730640514461995,-0.5925697959674986,-0.5925697959674986,-0.5925697959674986,-0.3013217292579593,-0.3013217292579593,-0.3013217292579593,-0.2912480667095393,-0.2912480667095393,-0.2912480667095393,0.0,0.0,0.0,26.265101292621104
1972-02-01,26.853511262568293,26.493569922987067,27.36098403937867,26.853511262568293,26.853511262568293,0.02388216307175021,0.02388216307175021,0.02388216307175021,-0.057701299024658925,-0.057701299024658925,-0.057701299024658925,-0.038185645660894364,-0.038185645660894364,-0.038185645660894364,-0.023858237492347306,-0.023858237492347306,-0.023858237492347306,-0.07487153912123787,-0.07487153912123787,-0.07487153912123787,-0.12582901150575207,-0.12582901150575207,-0.12582901150575207,-0.02483105055607708,-0.02483105055607708,-0.02483105055607708,-0.006742742811960985,-0.006742742811960985,-0.006742742811960985,0.06501810252123083,0.06501810252123083,0.06501810252123083,-0.32813736310117836,-0.32813736310117836,-0.32813736310117836,0.3931554656224092,0.3931554656224092,0.3931554656224092,0.0,0.0,0.0,26.918529365089523
1972-03-01,26.849619812420265,26.95119042660948,27.82723856369259,26.849619812420265,26.849619812420265,0.027035324653835503,0.027035324653835503,0.027035324653835503,0.04171897706517165,0.04171897706517165,0.04171897706517165,-0.008859830585342796,-0.008859830585342796,-0.008859830585342796,-0.03770174367174067,-0.03770174367174067,-0.03770174367174067,-0.09959324169612971,-0.09959324169612971,-0.09959324169612971,-0.0974973594734142,-0.0974973594734142,-0.0974973594734142,-0.00028437316964108767,-0.00028437316964108767,-0.00028437316964108767,0.005869145595959667,0.005869145595959667,0.005869145595959667,0.5494063397061217,0.5494063397061217,0.5494063397061217,-0.16931310128130164,-0.16931310128130164,-0.16931310128130164,0.7187194409874235,0.7187194409874235,0.7187194409874235,0.0,0.0,0.0,27.399026152126385
