horizon,mse,rmse,mae,mape,mdape,coverage,Model
365 days,0.7180580058679118,0.8473830337385283,0.7017082048545756,0.029509432880200036,0.025203920601942167,0.7207207207207207,indices
365 days,0.7311429691507961,0.855068985024481,0.7248987659753179,0.03101886211170356,0.025792324227138508,0.8018018018018017,tele_diff
365 days,1.3316047785334586,1.1539518094502295,0.9703899488103225,0.04053457965281221,0.038055271211709346,0.5135135135135136,lagged_tele
365 days,0.7172167993853052,0.8468865327688859,0.6941780747963238,0.029452788402558334,0.02696598049246981,0.7117117117117118,elnino_cat
365 days,0.7084558302639309,0.8416981824050298,0.6822049994629954,0.028554353734581508,0.0269818637204242,0.7117117117117118,lagged_elnino
365 days,1.0073789759087517,1.0036827067897263,0.8303207101447652,0.03466146022449205,0.029291096793114896,0.7207207207207207,ideal_lag
365 days,1.1646516751497547,1.0791902868121797,0.9058175434748438,0.038113852406876744,0.02637273197348591,0.5135135135135135,overfitted
