,AverageTemperature,BEST_Category,BEST,BEST_Category_t-1,BEST_Category_t-2,BEST_Category_t-3,BEST_Category_t-4,BEST_Category_t-5,BEST_Category_t-6,BEST_Category_t-7,BEST_Category_t-8,BEST_Category_t-9,BEST_Category_t-10,BEST_Category_t-11,BEST_Category_t-12,NINA_Category,NINA,NINA_Category_t-1,NINA_Category_t-2,NINA_Category_t-3,NINA_Category_t-4,NINA_Category_t-5,NINA_Category_t-6,NINA_Category_t-7,NINA_Category_t-8,NINA_Category_t-9,NINA_Category_t-10,NINA_Category_t-11,NINA_Category_t-12,ONI_Category,ONI,ONI_Category_t-1,ONI_Category_t-2,ONI_Category_t-3,ONI_Category_t-4,ONI_Category_t-5,ONI_Category_t-6,ONI_Category_t-7,ONI_Category_t-8,ONI_Category_t-9,ONI_Category_t-10,ONI_Category_t-11,ONI_Category_t-12,EA,EPNP,NAO,PNA,WP
Correlation,1.0,0.049825475672443935,-0.12439876044300603,0.0046226376181240855,-0.04318766786644943,-0.07138117861720207,-0.08767462012267777,-0.08086857027455649,-0.055735380209953514,-0.014499231904059317,0.027367001912232868,0.06791090349540095,0.0920473893520526,0.0886579626525052,0.05124744506392223,0.004764393247440046,-0.11151906976510931,0.03040576079498908,0.05808089271208848,0.06889015299184778,0.06106488898773406,0.03409647343339678,-0.0047845873268591325,-0.041986533702610754,-0.06481902553201022,-0.06592210736532463,-0.06281227227437192,-0.030620140390158593,0.005772259250587226,0.010843346715247842,-0.22366939728584226,-0.00782383064200686,-0.029262004314327135,-0.0340583042332561,-0.034981152516086675,-0.01738771259408633,-0.006275940983942863,0.0069382105760776615,0.007130078267533512,0.009913863139552753,0.007677116494708674,0.002760844939731222,-0.0024409046317696885,0.0364219654122983,0.07400602396914138,0.10102534062203683,0.05876319945631522,0.02133076649764352
Normality,6.3689953517659914e-251,3.0811668021808805e-13,1.45069527326408e-14,3.0811668021808805e-13,3.0811668021808805e-13,3.081166802180938e-13,3.0811668021808805e-13,3.0811668021808805e-13,3.0811668021808805e-13,3.081166802180938e-13,3.0811668021808805e-13,2.2575979773933089e-13,2.2575979773933089e-13,1.7885874696354878e-13,1.7885874696354878e-13,4.708383995505424e-25,2.4377174560003162e-29,4.708383995505494e-25,4.708383995505562e-25,4.708383995505494e-25,4.708383995505494e-25,4.708383995505424e-25,4.604122537193958e-25,4.604122537194058e-25,4.604122537194058e-25,4.604122537193958e-25,4.604122537193958e-25,4.604122537194026e-25,4.604122537194026e-25,3.58521727236067e-13,1.2522884938121985e-14,5.265471715118472e-13,5.265471715118433e-13,5.265471715118433e-13,5.265471715118472e-13,5.416782041022541e-13,5.265471715118433e-13,5.265471715118433e-13,5.265471715118433e-13,7.709279374810583e-13,1.1252368087370649e-12,2.374985506988568e-12,2.374985506988568e-12,0.9651673246254869,0.04258769017659503,0.6115601796020227,0.3480685971125822,0.40141148687652634
Stationary_ADF,1.8629701753089968e-05,7.1062615228959805e-06,9.958041878173513e-11,7.142615368266611e-06,7.126638890586857e-06,8.095500296890426e-06,8.095500296890426e-06,8.365768280207172e-06,8.3414834428323e-06,8.585342022371157e-06,8.245558932526708e-06,8.287223380003555e-06,8.286152316200261e-06,2.863728593800447e-09,2.8637285938004885e-09,8.136919308227267e-09,2.887977235228632e-05,8.136919308227267e-09,8.136919308227267e-09,8.136919308227267e-09,8.13691930822709e-09,8.136919308227267e-09,8.442104089373266e-09,8.442104089373266e-09,8.442104089373358e-09,8.442104089373266e-09,8.442104089373358e-09,8.442104089373358e-09,8.442104089373266e-09,2.444797607020037e-10,2.9500915917317266e-05,2.5625976275135876e-10,2.1553209289941716e-10,2.1421144341235945e-10,2.978481552130957e-10,9.00266530237991e-09,9.340201091767757e-09,9.67319992896467e-09,8.913807912285241e-09,4.1618569324278526e-09,4.400464094219933e-09,7.267748598504493e-09,7.27835451866421e-09,1.023213073664967e-17,1.1397102305778589e-29,2.081698238897188e-30,1.2697268312615262e-24,0.0
Stationarity_KPSS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.022403919773124018,0.08842609645642042,0.035324643473335804,0.1,0.1
Co-integration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granger_Causality_pvals,0.0,0.8856,0.4121,0.9551,0.9492,0.9926,0.9428,0.8919,0.8847,0.8769,0.903,0.9809,0.9753,0.9938,0.9962,0.9566,0.216,0.9473,0.937,0.9528,0.9714,0.9728,0.9658,0.7294,0.6194,0.7345,0.9224,0.798,0.7295,0.7079,0.6621,0.8005,0.7676,0.8352,0.9388,0.9705,0.9297,0.9431,0.9934,0.9941,0.9978,0.9966,0.909,0.9841,0.6291,0.6352,0.6847,0.4924
Granger_Causality_Lags,0.0,10.0,15.0,7.0,6.0,5.0,5.0,14.0,10.0,10.0,10.0,19.0,18.0,16.0,7.0,9.0,12.0,6.0,5.0,5.0,4.0,4.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,23.0,24.0,23.0,23.0,23.0,10.0,10.0,23.0,6.0,4.0,4.0,2.0,2.0,1.0,20.0,10.0,9.0,24.0,12.0
TLCC_Lags,0.0,10.0,2.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,1.0,0.0,0.0,10.0,15.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,0.0,15.0,14.0,13.0,12.0,11.0,9.0,8.0,23.0,17.0,15.0,0.0,0.0,6.0
