horizon,mse,rmse,mae,mape,mdape,coverage,Model
365 days,0.6243614093253246,0.7901654316188,0.6293086060175468,0.025721696041084926,0.01683701451947332,0.8585858585858583,indices
365 days,0.5865604445679976,0.7658723422137645,0.6186233499234886,0.025477582463592278,0.018284250758187806,0.8585858585858586,tele_diff
365 days,0.846404157316482,0.9200022594083571,0.790465390373375,0.03552965410593783,0.02149820128122864,0.7777777777777777,lagged_tele
365 days,0.5028778259318436,0.7091387917268689,0.5629021240738845,0.023481965078636494,0.019393467649439618,0.9393939393939393,elnino_cat
365 days,0.5236075389492025,0.723607309905865,0.5976983591348076,0.0244545256708584,0.014943477687035,0.8787878787878788,lagged_elnino
365 days,0.6520179212998746,0.8074762667099724,0.5976992067960628,0.024885776607002325,0.014655981468702896,0.8787878787878788,ideal_lag
365 days,0.5546892567598123,0.7447746348794462,0.49957755998870274,0.025707709295537354,0.00892060508234808,0.808080808080808,overfitted
