,AverageTemperature,BEST,NINA,ONI,EA_first_difference,EA_seasonal_difference,EA_seasonal_first_difference,EPNP_first_difference,EPNP_seasonal_difference,EPNP_seasonal_first_difference,NAO_first_difference,NAO_seasonal_difference,NAO_seasonal_first_difference,PNA_first_difference,PNA_seasonal_difference,PNA_seasonal_first_difference,WP_first_difference,WP_seasonal_difference,WP_seasonal_first_difference
Correlation,1.0,0.03955600517036476,-0.013664324432609974,0.014055587357964864,0.0035587486407727804,-0.029349066213806334,-0.0056781226511254225,0.05591964692483397,0.0387083515582748,0.0025547292249915236,0.05078497796459135,0.0285140922415619,0.017242007717738414,0.04083528559462393,0.020694941129008836,0.031512284376310574,-0.027227670309244726,-0.045270605544800495,-0.006316474580046676
Normality,6.3689953517659914e-251,0.9329848063927677,2.599496990866365e-15,0.007989820074249128,0.5957672253400235,0.6612102972303897,0.4387640393117682,0.009723076568886402,0.29443483943515353,0.4370276754306047,0.9193634989937383,0.7409069607348266,0.3088564350863228,0.7746906881421696,0.3913208397420725,0.9149832422770078,0.8315942419529206,0.3488152704008557,0.9158951064682556
Stationary_ADF,1.8629701753089968e-05,1.305902065907237e-07,2.440986467315336e-10,1.2486592772662714e-07,1.5944731779579492e-11,3.5878796391431235e-22,4.1435553986532856e-17,1.0583613270796776e-15,2.8454455084971235e-05,3.5576332932645985e-18,6.533719884033877e-19,1.6019459390332636e-14,7.997455444478649e-15,2.3000308072731735e-19,2.191699915726499e-15,2.399254433582626e-15,4.050458981737727e-23,1.0926157169050602e-14,3.3109134405104914e-13
Stationarity_KPSS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08424484250302597,0.1,0.1
Co-integration,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13,3.3109134405104914e-13
Granger_Causality_pvals,0.0,0.9859,0.9936,0.9056,0.9817,0.9791,0.9534,0.7177,0.9034,0.6272,0.7854,0.9567,0.9738,0.7188,0.901,0.9456,0.6522,0.8212,0.5163
Granger_Causality_Lags,0.0,13.0,18.0,1.0,23.0,21.0,14.0,9.0,1.0,24.0,21.0,10.0,8.0,23.0,21.0,20.0,11.0,2.0,2.0
TLCC_Lags,0.0,14.0,19.0,6.0,8.0,0.0,2.0,1.0,0.0,13.0,0.0,18.0,10.0,0.0,6.0,0.0,3.0,1.0,1.0
