,AverageTemperature,BEST_Category,BEST,BEST_Category_t-1,BEST_Category_t-2,BEST_Category_t-3,BEST_Category_t-4,BEST_Category_t-5,BEST_Category_t-6,BEST_Category_t-7,BEST_Category_t-8,BEST_Category_t-9,BEST_Category_t-10,BEST_Category_t-11,BEST_Category_t-12,NINA_Category,NINA,NINA_Category_t-1,NINA_Category_t-2,NINA_Category_t-3,NINA_Category_t-4,NINA_Category_t-5,NINA_Category_t-6,NINA_Category_t-7,NINA_Category_t-8,NINA_Category_t-9,NINA_Category_t-10,NINA_Category_t-11,NINA_Category_t-12,ONI_Category,ONI,ONI_Category_t-1,ONI_Category_t-2,ONI_Category_t-3,ONI_Category_t-4,ONI_Category_t-5,ONI_Category_t-6,ONI_Category_t-7,ONI_Category_t-8,ONI_Category_t-9,ONI_Category_t-10,ONI_Category_t-11,ONI_Category_t-12,EA,EPNP,NAO,PNA,WP
Correlation,1.0,0.03309675865483284,-0.13072232384209637,-0.019187183346428143,-0.05842931409732325,-0.08478033229858953,-0.10969996388416046,-0.08898686430087677,-0.06501123898869114,-0.014875819991238225,0.04242532360899687,0.09343252254170623,0.11476456639443076,0.10867240283342014,0.06655503140509203,0.018578028146816215,-0.14632550120970472,0.059005072876932144,0.0809207374371003,0.08640080381077604,0.07603985258019694,0.03896173201071739,-0.0007581520943816431,-0.0407205814393397,-0.059393345939768444,-0.05040968377732533,-0.017202408892610918,0.015266197757822187,0.03841977714379436,-0.01317719997677557,-0.2632678974477682,-0.023926902849093427,-0.03593325509343459,-0.027981175147297605,-0.027941460722773283,-0.0187143560626279,-0.006277563186790339,0.008180788884409788,0.01969556274970093,0.02816405047749771,0.03498405336762076,0.02516620833454191,0.011423382564203749,0.016034039362126454,0.02939128705331524,0.016791249699390467,0.0119150865815647,0.07362416754508139
Normality,0.0,3.0183808320414485e-12,2.4109282412231225e-12,1.344823520192132e-12,3.2327583686326204e-12,6.0915245229319754e-12,4.486206879609046e-12,5.947268781881432e-12,1.5285170485325887e-11,5.417440503887624e-12,7.17427258878862e-12,1.4416858450544524e-10,8.49767199911574e-11,9.762669987820798e-11,3.781160230666597e-12,4.485072774574594e-26,2.014200623503523e-27,1.4236408874720492e-25,1.8307479282490413e-25,3.210391976082426e-25,5.901586766663975e-26,1.0314954565561041e-25,8.64805572904206e-25,4.399781363786315e-24,1.202873900916055e-24,7.125641925979512e-24,4.546422782605369e-22,3.40533879375135e-21,3.650866780239415e-22,1.4721905268898635e-12,2.8013837473870775e-12,8.641985324396522e-12,2.0906857540245465e-12,1.470173047667621e-12,1.9411544074748305e-11,1.5052414559492988e-11,2.2504587703023602e-11,1.6965632490719918e-10,1.0897693309605626e-11,7.136106971145645e-10,7.136106971145645e-10,7.103468795125503e-10,2.033011271604802e-08,0.9459077925622533,0.07110596539358582,0.40436660183552986,0.27839859716298215,0.19936152384993225
Stationary_ADF,0.000645897989231574,9.252930167030363e-10,5.21171922355407e-07,5.532973514329597e-10,4.2627773709003254e-10,6.353006103364107e-10,7.65105295980053e-10,6.53847916422678e-10,9.839504638943319e-10,7.226458671939361e-10,4.33707072599201e-06,3.991741241039853e-06,1.668343888526323e-09,2.7991576584469945e-09,1.262778159380211e-09,5.23355793962482e-09,2.3305005505709926e-12,4.828373748773026e-09,3.83226453969867e-09,3.8984651445512684e-09,3.257647394969374e-09,3.584139581314519e-09,3.9280411822589105e-08,4.741080078390855e-08,8.995322614961475e-09,1.2073072733905468e-08,5.722562832459895e-09,3.89994950924981e-09,1.9021661737472926e-08,2.9983786836892416e-10,2.914742060787576e-05,5.332605727791231e-10,8.437433051089054e-10,1.2596546895743725e-09,1.3747444019643779e-09,1.4302126822951376e-05,2.0487846379567076e-09,1.024257635922339e-05,1.5102836359483781e-09,9.088060425320122e-10,5.099609963810179e-10,3.8370617157680737e-10,8.921419443024776e-10,0.0,2.0368377939986528e-09,8.502942482864683e-23,3.088333789478526e-23,0.0
Stationarity_KPSS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.012680432342127821,0.08741333617791158,0.02713844739949196,0.1,0.1
Co-integration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granger_Causality_pvals,0.0,0.5426,0.8859,0.7523,0.6039,0.8821,0.9327,0.947,0.9782,0.9376,0.9116,0.7277,0.9841,0.9548,0.7809,0.2378,0.1302,0.8047,0.8129,0.9703,0.75,0.989,0.8319,0.8896,0.8933,0.7954,0.9078,0.826,0.7334,0.8213,0.0645,0.6204,0.9453,0.7345,0.9885,0.9728,0.917,0.9855,0.9285,0.8189,0.8338,0.8488,0.9595,0.2895,0.3531,0.4637,0.9134,0.6952
Granger_Causality_Lags,0.0,3.0,2.0,2.0,11.0,16.0,1.0,23.0,3.0,2.0,9.0,20.0,12.0,2.0,13.0,2.0,2.0,2.0,3.0,1.0,5.0,3.0,16.0,15.0,14.0,15.0,15.0,12.0,13.0,1.0,17.0,20.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,12.0,1.0,1.0,5.0,3.0,24.0,1.0,3.0,1.0
TLCC_Lags,0.0,11.0,17.0,10.0,9.0,8.0,0.0,6.0,5.0,4.0,2.0,1.0,0.0,0.0,4.0,13.0,2.0,12.0,11.0,11.0,10.0,9.0,8.0,7.0,6.0,5.0,4.0,3.0,2.0,11.0,1.0,10.0,10.0,10.0,8.0,22.0,21.0,21.0,20.0,20.0,19.0,23.0,23.0,4.0,3.0,12.0,19.0,5.0
