ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,BEST,BEST_lower,BEST_upper,BEST_Category,BEST_Category_lower,BEST_Category_upper,EA,EA_lower,EA_upper,EPNP,EPNP_lower,EPNP_upper,NAO,NAO_lower,NAO_upper,NINA,NINA_lower,NINA_upper,NINA_Category,NINA_Category_lower,NINA_Category_upper,ONI,ONI_lower,ONI_upper,ONI_Category,ONI_Category_lower,ONI_Category_upper,PNA,PNA_lower,PNA_upper,WP,WP_lower,WP_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-01,16.064074892890073,7.926982465340399,10.723239843854802,16.064074892890073,16.064074892890073,-0.0038043611052355135,-0.0038043611052355135,-0.0038043611052355135,-0.00031702037350307824,-0.00031702037350307824,-0.00031702037350307824,0.011383694614225379,0.011383694614225379,0.011383694614225379,0.0548197403214057,0.0548197403214057,0.0548197403214057,-0.6118617248697998,-0.6118617248697998,-0.6118617248697998,0.032780769180897035,0.032780769180897035,0.032780769180897035,-0.0027838664944216758,-0.0027838664944216758,-0.0027838664944216758,-0.010029785953828849,-0.010029785953828849,-0.010029785953828849,0.034871313860488896,0.034871313860488896,0.034871313860488896,0.03958168200424383,0.03958168200424383,0.03958168200424383,0.8247937404366921,0.8247937404366921,0.8247937404366921,-6.717849979122878,-6.717849979122878,-6.717849979122878,0.369434181621164,0.369434181621164,0.369434181621164,-7.087284160744041,-7.087284160744041,-7.087284160744041,0.0,0.0,0.0,9.346224913767195
1970-02-01,16.065766950654965,9.226129387195018,12.036742588115013,16.065766950654965,16.065766950654965,0.004092340631129854,0.004092340631129854,0.004092340631129854,-0.00031702037350307824,-0.00031702037350307824,-0.00031702037350307824,0.08912819744292798,0.08912819744292798,0.08912819744292798,0.13483162567532142,0.13483162567532142,0.13483162567532142,0.07949913221260572,0.07949913221260572,0.07949913221260572,0.0767901434502626,0.0767901434502626,0.0767901434502626,-0.0027838664944216758,-0.0027838664944216758,-0.0027838664944216758,-0.019379729559034834,-0.019379729559034834,-0.019379729559034834,0.002601412401670575,0.002601412401670575,0.002601412401670575,0.21263118349913185,0.21263118349913185,0.21263118349913185,0.010113743816882946,0.010113743816882946,0.010113743816882946,-5.424323011825838,-5.424323011825838,-5.424323011825838,0.5872071627029735,0.5872071627029735,0.5872071627029735,-6.011530174528811,-6.011530174528811,-6.011530174528811,0.0,0.0,0.0,10.641443938829127
1970-03-01,16.06729526089422,10.725825352794503,13.73937612393517,16.06729526089422,16.06729526089422,0.1284653929788843,0.1284653929788843,0.1284653929788843,-0.00031702037350307824,-0.00031702037350307824,-0.00031702037350307824,0.3215919583762764,0.3215919583762764,0.3215919583762764,0.13693720160568762,0.13693720160568762,0.13693720160568762,-0.3805008081296248,-0.3805008081296248,-0.3805008081296248,0.03697213815893185,0.03697213815893185,0.03697213815893185,-0.0027838664944216758,-0.0027838664944216758,-0.0027838664944216758,-0.022129712972330715,-0.022129712972330715,-0.022129712972330715,0.002601412401670575,0.002601412401670575,0.002601412401670575,0.11152360959200626,0.11152360959200626,0.11152360959200626,0.12222566995722367,0.12222566995722367,0.12222566995722367,-3.8549659345074407,-3.8549659345074407,-3.8549659345074407,0.4545859751008005,0.4545859751008005,0.4545859751008005,-4.309551909608241,-4.309551909608241,-4.309551909608241,0.0,0.0,0.0,12.21232932638678
1970-04-01,16.06898731865911,11.266535708495569,14.220449473660086,16.06898731865911,16.06898731865911,0.07713683169250941,0.07713683169250941,0.07713683169250941,-0.00031702037350307824,-0.00031702037350307824,-0.00031702037350307824,0.014462684825263106,0.014462684825263106,0.014462684825263106,-0.08835942294349615,-0.08835942294349615,-0.08835942294349615,-0.42132920520142036,-0.42132920520142036,-0.42132920520142036,0.020206662246792583,0.020206662246792583,0.020206662246792583,-0.0027838664944216758,-0.0027838664944216758,-0.0027838664944216758,-0.027629679798922474,-0.027629679798922474,-0.027629679798922474,0.002601412401670575,0.002601412401670575,0.002601412401670575,-0.11207967885644456,-0.11207967885644456,-0.11207967885644456,-0.31127377778542714,-0.31127377778542714,-0.31127377778542714,-3.3040065144202546,-3.3040065144202546,-3.3040065144202546,-0.8493650602873997,-0.8493650602873997,-0.8493650602873997,-2.454641454132854,-2.454641454132854,-2.454641454132854,0.0,0.0,0.0,12.764980804238856
1970-05-01,16.07062479391546,15.895052837801328,18.905778272833754,16.07062479391546,16.07062479391546,0.138336270149341,0.138336270149341,0.138336270149341,-0.00031702037350307824,-0.00031702037350307824,-0.00031702037350307824,0.016002179930781967,0.016002179930781967,0.016002179930781967,-0.11362633410789057,-0.11362633410789057,-0.11362633410789057,0.30541626267654143,0.30541626267654143,0.30541626267654143,-0.025898396511590375,-0.025898396511590375,-0.025898396511590375,-0.0027838664944216758,-0.0027838664944216758,-0.0027838664944216758,-0.03587963003881011,-0.03587963003881011,-0.03587963003881011,0.002601412401670575,0.002601412401670575,0.002601412401670575,-0.0809696561157905,-0.0809696561157905,-0.0809696561157905,0.06990677109173132,0.06990677109173132,0.06990677109173132,1.2523459190976622,1.2523459190976622,1.2523459190976622,0.27278799260805997,0.27278799260805997,0.27278799260805997,0.9795579264896024,0.9795579264896024,0.9795579264896024,0.0,0.0,0.0,17.322970713013124
1970-06-01,16.072316851680352,19.75484329651556,22.644767466348384,16.072316851680352,16.072316851680352,0.06726595452205272,0.06726595452205272,0.06726595452205272,-0.00031702037350307824,-0.00031702037350307824,-0.00031702037350307824,-0.027103683023746206,-0.027103683023746206,-0.027103683023746206,-0.14520997306338362,-0.14520997306338362,-0.14520997306338362,0.5122801411736392,0.5122801411736392,0.5122801411736392,-0.07619482424800815,-0.07619482424800815,-0.07619482424800815,-0.0027838664944216758,-0.0027838664944216758,-0.0027838664944216758,-0.021579716289671542,-0.021579716289671542,-0.021579716289671542,0.002601412401670575,0.002601412401670575,0.002601412401670575,0.060969822638443485,0.060969822638443485,0.060969822638443485,0.06243264268237529,0.06243264268237529,0.06243264268237529,5.115880192277988,5.115880192277988,5.115880192277988,0.43236088992544697,0.43236088992544697,0.43236088992544697,4.683519302352541,4.683519302352541,4.683519302352541,0.0,0.0,0.0,21.18819704395834
1970-07-01,16.0739543269367,21.972509454826795,24.844829777556143,16.0739543269367,16.0739543269367,0.09687858603342284,0.09687858603342284,0.09687858603342284,-0.00031702037350307824,-0.00031702037350307824,-0.00031702037350307824,-0.08791373969174132,-0.08791373969174132,-0.08791373969174132,-0.29260028818901784,-0.29260028818901784,-0.29260028818901784,0.03867073514081012,0.03867073514081012,0.03867073514081012,-0.1254434097399172,-0.1254434097399172,-0.1254434097399172,-0.0027838664944216758,-0.0027838664944216758,-0.0027838664944216758,-0.003429825761918741,-0.003429825761918741,-0.003429825761918741,0.002601412401670575,0.002601412401670575,0.002601412401670575,0.16013302012427816,0.16013302012427816,0.16013302012427816,-0.3598556124462415,-0.3598556124462415,-0.3598556124462415,7.361944322129402,7.361944322129402,7.361944322129402,-0.5740600089965796,-0.5740600089965796,-0.5740600089965796,7.936004331125981,7.936004331125981,7.936004331125981,0.0,0.0,0.0,23.435898649066104
1970-08-01,16.07564638470159,21.933655403081985,24.844986422969697,16.07564638470159,16.07564638470159,0.008040691499312518,0.008040691499312518,0.008040691499312518,-0.00031702037350307824,-0.00031702037350307824,-0.00031702037350307824,-0.1841321837866703,-0.1841321837866703,-0.1841321837866703,0.20221005544703996,0.20221005544703996,0.20221005544703996,0.0032861243452539275,0.0032861243452539275,0.0032861243452539275,-0.10553440709425185,-0.10553440709425185,-0.10553440709425185,0.019878546686729778,0.019878546686729778,0.019878546686729778,0.0037201311126505436,0.0037201311126505436,0.0037201311126505436,0.002601412401670575,0.002601412401670575,0.002601412401670575,-0.1004134203286993,-0.1004134203286993,-0.1004134203286993,-0.3635926766509195,-0.3635926766509195,-0.3635926766509195,7.332006512777263,7.332006512777263,7.332006512777263,-0.5142527467413867,-0.5142527467413867,-0.5142527467413867,7.846259259518649,7.846259259518649,7.846259259518649,0.0,0.0,0.0,23.40765289747885
1970-09-01,16.07733844246648,20.58903811516702,23.691786727336552,16.07733844246648,16.07733844246648,-0.025520290880240253,-0.025520290880240253,-0.025520290880240253,-0.00031702037350307824,-0.00031702037350307824,-0.00031702037350307824,0.009844199508706514,0.009844199508706514,0.009844199508706514,-0.05045905619690448,-0.05045905619690448,-0.05045905619690448,0.01961748317397217,0.01961748317397217,0.01961748317397217,-0.05628582160234279,-0.05628582160234279,-0.05628582160234279,0.019878546686729778,0.019878546686729778,0.019878546686729778,0.00427012779530972,0.00427012779530972,0.00427012779530972,0.002601412401670575,0.002601412401670575,0.002601412401670575,-0.05958151548159087,-0.05958151548159087,-0.05958151548159087,0.5744104387232646,0.5744104387232646,0.5744104387232646,6.022674457325016,6.022674457325016,6.022674457325016,0.43845850375507184,0.43845850375507184,0.43845850375507184,5.584215953569944,5.584215953569944,5.584215953569944,0.0,0.0,0.0,22.100012899791498
1970-10-01,16.078975917722826,14.781497970654613,17.557281244607903,16.078975917722826,16.078975917722826,0.027782445840225937,0.027782445840225937,0.027782445840225937,-0.00031702037350307824,-0.00031702037350307824,-0.00031702037350307824,-0.03480115855134053,-0.03480115855134053,-0.03480115855134053,-0.14520997306338362,-0.14520997306338362,-0.14520997306338362,-0.13008663942261173,-0.13008663942261173,-0.13008663942261173,-0.05628582160234279,-0.05628582160234279,-0.05628582160234279,0.04254095986788123,0.04254095986788123,0.04254095986788123,0.002620137747332192,0.002620137747332192,0.002620137747332192,0.002601412401670575,0.002601412401670575,0.002601412401670575,-0.16846659507387995,-0.16846659507387995,-0.16846659507387995,-0.5093381806333623,-0.5093381806333623,-0.5093381806333623,0.0671380797987639,0.0671380797987639,0.0671380797987639,-0.9689604328633141,-0.9689604328633141,-0.9689604328633141,1.0360985126620779,1.0360985126620779,1.0360985126620779,0.0,0.0,0.0,16.14611399752159
