,AverageTemperature,BEST_Category,BEST,BEST_Category_t-1,BEST_Category_t-2,BEST_Category_t-3,BEST_Category_t-4,BEST_Category_t-5,BEST_Category_t-6,BEST_Category_t-7,BEST_Category_t-8,BEST_Category_t-9,BEST_Category_t-10,BEST_Category_t-11,BEST_Category_t-12,NINA_Category,NINA,NINA_Category_t-1,NINA_Category_t-2,NINA_Category_t-3,NINA_Category_t-4,NINA_Category_t-5,NINA_Category_t-6,NINA_Category_t-7,NINA_Category_t-8,NINA_Category_t-9,NINA_Category_t-10,NINA_Category_t-11,NINA_Category_t-12,ONI_Category,ONI,ONI_Category_t-1,ONI_Category_t-2,ONI_Category_t-3,ONI_Category_t-4,ONI_Category_t-5,ONI_Category_t-6,ONI_Category_t-7,ONI_Category_t-8,ONI_Category_t-9,ONI_Category_t-10,ONI_Category_t-11,ONI_Category_t-12,EA,EPNP,NAO,PNA,WP
Correlation,1.0,0.025942943066030785,-0.13796760394064148,-0.010568698609059138,-0.04785179287794382,-0.07262854072956408,-0.07332947377413399,-0.05500163896774783,-0.019363794461799675,0.02646459098744344,0.06399580271525353,0.0775627344812767,0.07159599716497089,0.05043919692119955,0.018227745983499695,0.039713655589360033,-0.17146399026690984,0.07152802239112788,0.0796768137064881,0.08065488821955309,0.06958450578495151,0.04218564964858443,0.0034585029472582445,-0.03790264887601437,-0.06272980829114327,-0.061381679819232524,-0.03156532874242058,0.007944287974711995,0.04222380649590255,-0.007610626703042065,-0.29142898192787287,-0.011490154158487604,-0.013390712485057125,-0.0002488066589549514,0.007331642231865074,0.012914088510225498,0.013562523281066316,0.020808854014014857,0.023679103002320748,0.015225988770152467,-0.00018616992120112753,-0.017708296569036507,-0.015042881472513016,0.03342540601158263,-0.017049591263576535,0.05089969632225366,0.047543489419334665,0.11886267526519186
Normality,6.376813550750967e-85,2.522166248973386e-13,3.858493540768662e-14,8.347101499890368e-14,8.347101499890308e-14,1.845858181698855e-13,2.611483502810358e-13,2.611483502810358e-13,2.611483502810358e-13,2.611483502810358e-13,3.5622329469803835e-13,3.5622329469803173e-13,3.5622329469803704e-13,3.5622329469803704e-13,3.5622329469803704e-13,3.138826639063306e-25,7.849940153060234e-29,1.9001927388762566e-25,1.9315311226511584e-25,1.9315311226511306e-25,1.9315311226511584e-25,5.440644080567973e-25,5.440644080567973e-25,5.440644080567973e-25,5.440644080567973e-25,5.307200092906873e-25,5.307200092906873e-25,5.307200092906873e-25,5.307200092906873e-25,1.223401348310488e-13,1.7112396298841533e-14,1.223401348310488e-13,1.8178778901130907e-13,1.223401348310488e-13,4.0371617762353754e-13,4.0371617762353754e-13,6.09477201382855e-13,6.09477201382855e-13,8.9304313821604e-13,1.3044863513754892e-12,1.8995805686352517e-12,2.670573044199711e-12,2.7575660535404353e-12,0.9490139596387321,0.062416246396764845,0.5913657312886543,0.41429237636706684,0.479937052407567
Stationary_ADF,1.7906104431936176e-05,8.58553989135356e-06,1.4138608868530045e-10,6.994559026074113e-06,7.0034569146171695e-06,9.911689974446422e-06,7.591513615602599e-06,7.5217577433268576e-06,7.801639279716966e-06,7.441686643445203e-06,7.8271932854639e-06,7.808468935947182e-06,7.97155025192429e-06,8.088706788266732e-06,7.941470298467985e-06,7.731809898777202e-09,3.248181584212285e-05,7.004931414208105e-09,1.2072288201551496e-08,1.2072288201551365e-08,1.2072288201551496e-08,8.734485170805762e-09,8.734485170805858e-09,8.734485170805858e-09,8.734485170805858e-09,9.058506889783183e-09,9.058506889783183e-09,9.058506889783383e-09,9.058506889783483e-09,1.967160735805228e-10,4.574464757735204e-06,1.6943126102964303e-10,1.7329258957071752e-10,2.6916708219621305e-10,4.981096667457656e-10,4.981096667457656e-10,3.264676994332292e-10,3.264676994332292e-10,3.568650184310092e-10,3.735728712588286e-10,2.0958715567609782e-10,1.9306288824218594e-10,2.1864161069726794e-10,0.0,0.003194040008166452,2.10781965330393e-30,6.521095427094411e-25,0.0
Stationarity_KPSS,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.022874828295267113,0.09177177004839106,0.048996303405579124,0.1,0.1
Co-integration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Granger_Causality_pvals,0.0,0.9914,0.9753,0.9994,0.9967,0.9831,0.9822,0.8932,0.9659,0.9981,0.9889,0.9815,0.9399,0.9452,0.9475,0.9759,0.25,0.8988,0.8106,0.8654,0.7034,0.7661,0.9243,0.9088,0.9316,0.8774,0.9414,0.7491,0.7306,0.9404,0.9623,0.9181,0.6292,0.9217,0.9993,0.9215,0.9024,0.7914,0.9983,0.9736,0.882,0.9647,0.9532,0.9224,0.6352,0.9786,0.9714,0.9036
Granger_Causality_Lags,0.0,6.0,12.0,5.0,4.0,3.0,2.0,10.0,4.0,5.0,9.0,8.0,10.0,10.0,5.0,24.0,24.0,23.0,10.0,1.0,20.0,19.0,5.0,5.0,5.0,4.0,2.0,2.0,12.0,2.0,11.0,1.0,4.0,3.0,2.0,1.0,5.0,23.0,1.0,2.0,11.0,1.0,1.0,12.0,2.0,5.0,16.0,6.0
TLCC_Lags,0.0,21.0,12.0,20.0,19.0,18.0,17.0,16.0,15.0,14.0,13.0,12.0,11.0,10.0,9.0,2.0,13.0,1.0,13.0,12.0,11.0,9.0,8.0,7.0,6.0,23.0,23.0,22.0,21.0,23.0,13.0,23.0,22.0,21.0,21.0,20.0,18.0,17.0,16.0,15.0,14.0,23.0,23.0,23.0,21.0,23.0,19.0,23.0
